2026-07-03 17:02:36 | sweep_bottleneck192 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.280906 | lr=2.80e-05
2026-07-03 17:03:46 | sweep_bottleneck192 | epoch=  0.00 | samples=    200,192 | speed= 1,429 sps | loss=0.134118 | lr=4.60e-05
2026-07-03 17:04:57 | sweep_bottleneck192 | epoch=  0.01 | samples=    300,288 | speed= 1,422 sps | loss=0.122521 | lr=6.40e-05
2026-07-03 17:06:07 | sweep_bottleneck192 | epoch=  0.01 | samples=    400,384 | speed= 1,423 sps | loss=0.119253 | lr=8.20e-05
2026-07-03 17:07:18 | sweep_bottleneck192 | epoch=  0.01 | samples=    500,480 | speed= 1,422 sps | loss=0.117158 | lr=1.01e-04
2026-07-03 17:08:28 | sweep_bottleneck192 | epoch=  0.01 | samples=    600,576 | speed= 1,424 sps | loss=0.115095 | lr=1.14e-04
2026-07-03 17:09:38 | sweep_bottleneck192 | epoch=  0.01 | samples=    700,672 | speed= 1,423 sps | loss=0.112364 | lr=1.22e-04
2026-07-03 17:10:48 | sweep_bottleneck192 | epoch=  0.02 | samples=    800,768 | speed= 1,427 sps | loss=0.109867 | lr=1.39e-04
2026-07-03 17:12:01 | sweep_bottleneck192 | epoch=  0.02 | samples=    900,864 | speed= 1,385 sps | loss=0.107522 | lr=1.52e-04
2026-07-03 17:13:11 | sweep_bottleneck192 | epoch=  0.02 | samples=  1,000,960 | speed= 1,428 sps | loss=0.104979 | lr=1.68e-04
2026-07-03 17:14:21 | sweep_bottleneck192 | epoch=  0.02 | samples=  1,101,056 | speed= 1,425 sps | loss=0.102381 | lr=1.91e-04
2026-07-03 17:15:32 | sweep_bottleneck192 | epoch=  0.02 | samples=  1,201,152 | speed= 1,420 sps | loss=0.099127 | lr=2.09e-04
2026-07-03 17:16:42 | sweep_bottleneck192 | epoch=  0.03 | samples=  1,301,248 | speed= 1,419 sps | loss=0.095677 | lr=2.42e-04
2026-07-03 17:17:53 | sweep_bottleneck192 | epoch=  0.03 | samples=  1,401,344 | speed= 1,421 sps | loss=0.092327 | lr=2.76e-04
2026-07-03 17:19:03 | sweep_bottleneck192 | epoch=  0.03 | samples=  1,501,440 | speed= 1,416 sps | loss=0.089329 | lr=3.17e-04
2026-07-03 17:20:16 | sweep_bottleneck192 | epoch=  0.03 | samples=  1,601,536 | speed= 1,369 sps | loss=0.086800 | lr=3.54e-04
2026-07-03 17:21:27 | sweep_bottleneck192 | epoch=  0.03 | samples=  1,701,632 | speed= 1,424 sps | loss=0.084477 | lr=3.99e-04
2026-07-03 17:23:07 | sweep_bottleneck192 | epoch=  0.04 | samples=  1,801,728 | speed= 1,002 sps | loss=0.082472 | lr=4.32e-04
2026-07-03 17:24:15 | sweep_bottleneck192 | epoch=  0.04 | samples=  1,901,824 | speed= 1,460 sps | loss=0.080458 | lr=4.54e-04
2026-07-03 17:25:25 | sweep_bottleneck192 | epoch=  0.04 | samples=  2,001,920 | speed= 1,435 sps | loss=0.078486 | lr=4.82e-04
