epoch,total_samples,speed_sps,train_loss,val_loss,lr
0.002,100096,0.0,0.2809058871034466,,2.7972350230414744e-05
0.004,200192,1429.4,0.13411750608240552,,4.599078341013825e-05
0.006,300288,1421.9,0.12252129589581429,,6.400921658986176e-05
0.008,400384,1423.0,0.11925337027253398,,8.202764976958526e-05
0.01,500480,1422.1,0.11715777915761903,,0.000101
0.012,600576,1424.1,0.11509467026842829,,0.00011380932804332896
0.014,700672,1422.7,0.11236449380588653,,0.00012201900399479672
0.016,800768,1427.2,0.10986721690963297,,0.00013886900853164082
0.018,900864,1384.8,0.10752183004565861,,0.00015187898946333444
0.02,1000960,1427.5,0.10497935752734504,,0.0001677688921462944
0.022,1101056,1425.1,0.10238050456013521,,0.00019093664881743498
0.024,1201152,1419.5,0.09912706437089559,,0.00020882460082733448
0.026,1301248,1419.0,0.0956773069089331,,0.00024243887867806747
0.028,1401344,1421.0,0.09232725515542432,,0.00027591805873929
0.03,1501440,1415.8,0.08932883688784621,,0.0003171606934873975
0.032,1601536,1369.3,0.0867995664744121,,0.0003538461465303101
0.034,1701632,1423.7,0.08447719346303159,,0.0003987226947260981
0.036,1801728,1002.2,0.08247204023934997,,0.00043175954367025333
0.038,1901824,1459.7,0.08045766226318486,,0.0004537836196240261
0.04,2001920,1435.3,0.07848644597679758,,0.0004817004562435631
0.042,2102016,1423.6,0.07690938297287582,,0.0005216125691474479
0.044,2202112,1416.6,0.0755082955560111,,0.0005482200524324489
0.046,2302208,1418.4,0.07408822524120741,,0.0005819466326205812
0.048,2402304,1420.4,0.07276414029890924,,0.0006116317595060834
0.05,2502400,1414.7,0.07152094869205104,,0.0006557520318378849
0.052,2602496,1376.2,0.07029803676525954,,0.0006892019758351122
0.054,2702592,1421.6,0.06911831328173733,,0.000717186339753941
0.056,2802688,1411.7,0.0679531962898991,,0.0007389178030348251
0.058,2902784,1417.4,0.06663465861926603,,0.0007613077513845834
0.06,3002880,1415.9,0.06548726974088517,,0.0008001420979242294
0.062,3102976,1423.0,0.06466001730478937,,0.0008326310756697658
0.064,3203072,1419.1,0.06369500263305881,,0.0008751036285544974
0.066,3303168,1419.4,0.06283944482198152,,0.0009106363450393605
0.068,3403264,1414.9,0.06195436265614941,,0.0009476118322997021
0.07,3503360,1419.0,0.06121616637157967,,0.0009860886726145177
0.072,3603456,1545.0,0.06041430742920512,,0.0009959495593406629
0.074,3703552,1377.6,0.05953170247661793,,0.0010261278269382446
0.076,3803648,1425.1,0.058830713724617456,,0.0010572205262223005
0.078,3903744,1421.9,0.058188831486055616,,0.0010892553653873624
0.0799,4000000,1537.7,0.05748495094953699,,0.001122260892213965
