epoch,total_samples,speed_sps,train_loss,val_loss,lr
0.002,100096,0.0,0.27192006822284837,,2.7981557377049184e-05
0.004,200192,1423.0,0.21342866541936878,,4.600922131147541e-05
0.006,300288,1547.1,0.21203761995600923,,6.403688524590163e-05
0.008,400384,1415.6,0.20761065223180425,,8.206454918032786e-05
0.01,500480,1001.2,0.20367569413483905,,0.00010201000000000001
0.012,600576,1425.2,0.19898309552913432,,0.00012201900399479672
0.014,700672,1420.1,0.1935439247761846,,0.00014307687835915807
0.016,800768,1412.7,0.19123955067161405,,0.00015037523709241033
0.018,900864,1408.9,0.18863063105536848,,0.00017458098192069146
0.02,1000960,1372.9,0.18554607693039243,,0.00019284601530560934
0.022,1101056,1412.7,0.18325843122761573,,0.0002047099312100132
0.024,1201152,1413.3,0.1825244389379116,,0.00021515219505700354
0.026,1301248,1407.0,0.18012214560642878,,0.00023530878711955773
0.028,1401344,1532.5,0.1803320021656773,,0.00023766187499075331
0.03,1501440,1529.5,0.18490985832403384,,0.00017824640624306497
0.032,1601536,1405.1,0.18004732436078894,,0.0001350216527291217
0.034,1701632,1528.1,0.17802651577136097,,0.0001405040732667515
0.036,1801728,987.8,0.1765491351142259,,0.00015214577790496092
0.038,1901824,1544.7,0.1761690761579577,,0.00015366723568401052
0.04,2001920,1534.4,0.18120780693905433,,0.00011525042676300789
0.042,2102016,1407.5,0.17504250134348565,,0.00012112935680623533
0.044,2202112,1529.8,0.1743648787746039,,0.00012356405687804066
0.046,2302208,1404.6,0.1737660485536546,,9.548112852412663e-05
0.048,2402304,1404.9,0.17199104669911172,,0.00010442630408611994
0.05,2502400,1405.6,0.17093988727120793,,0.00010975309508931075
0.052,2602496,1528.3,0.18053053308021078,,0.00011085062604020386
0.054,2702592,1525.8,0.1754457939540029,,8.31379695301529e-05
0.056,2802688,1524.6,0.1731547659544079,,6.235347714761468e-05
0.058,2902784,1523.4,0.17239356189585098,,4.676510786071101e-05
0.06,3002880,1522.0,0.17146054276115144,,4.676510786071101e-05
0.062,3102976,1521.0,0.17085616343923846,,3.507383089553325e-05
0.064,3203072,1511.4,0.1703530591924477,,2.6834111172400103e-05
0.066,3303168,1362.9,0.16980418867772193,,2.7647211575035e-05
