2026-07-04 14:55:15 | sweep_n5 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.269723 | lr=2.80e-05
2026-07-04 14:56:23 | sweep_n5 | epoch=  0.00 | samples=    200,192 | speed= 1,472 sps | loss=0.143197 | lr=4.60e-05
2026-07-04 14:57:31 | sweep_n5 | epoch=  0.01 | samples=    300,288 | speed= 1,472 sps | loss=0.134650 | lr=6.40e-05
2026-07-04 14:58:40 | sweep_n5 | epoch=  0.01 | samples=    400,384 | speed= 1,444 sps | loss=0.131083 | lr=8.21e-05
2026-07-04 14:59:48 | sweep_n5 | epoch=  0.01 | samples=    500,480 | speed= 1,470 sps | loss=0.127314 | lr=1.02e-04
2026-07-04 15:01:26 | sweep_n5 | epoch=  0.01 | samples=    600,576 | speed= 1,029 sps | loss=0.122451 | lr=1.30e-04
2026-07-04 15:02:34 | sweep_n5 | epoch=  0.01 | samples=    700,672 | speed= 1,466 sps | loss=0.117423 | lr=1.61e-04
2026-07-04 15:03:42 | sweep_n5 | epoch=  0.02 | samples=    800,768 | speed= 1,475 sps | loss=0.113019 | lr=1.97e-04
2026-07-04 15:04:50 | sweep_n5 | epoch=  0.02 | samples=    900,864 | speed= 1,473 sps | loss=0.108572 | lr=2.31e-04
2026-07-04 15:05:58 | sweep_n5 | epoch=  0.02 | samples=  1,000,960 | speed= 1,470 sps | loss=0.104015 | lr=2.63e-04
2026-07-04 15:07:08 | sweep_n5 | epoch=  0.02 | samples=  1,101,056 | speed= 1,430 sps | loss=0.099648 | lr=2.87e-04
2026-07-04 15:08:16 | sweep_n5 | epoch=  0.02 | samples=  1,201,152 | speed= 1,470 sps | loss=0.096300 | lr=3.20e-04
2026-07-04 15:09:24 | sweep_n5 | epoch=  0.03 | samples=  1,301,248 | speed= 1,467 sps | loss=0.093618 | lr=3.47e-04
2026-07-04 15:10:32 | sweep_n5 | epoch=  0.03 | samples=  1,401,344 | speed= 1,468 sps | loss=0.091323 | lr=3.79e-04
2026-07-04 15:11:41 | sweep_n5 | epoch=  0.03 | samples=  1,501,440 | speed= 1,466 sps | loss=0.089402 | lr=4.03e-04
2026-07-04 15:12:49 | sweep_n5 | epoch=  0.03 | samples=  1,601,536 | speed= 1,467 sps | loss=0.087598 | lr=4.23e-04
2026-07-04 15:13:57 | sweep_n5 | epoch=  0.03 | samples=  1,701,632 | speed= 1,466 sps | loss=0.085988 | lr=4.49e-04
2026-07-04 15:15:08 | sweep_n5 | epoch=  0.04 | samples=  1,801,728 | speed= 1,414 sps | loss=0.084704 | lr=4.68e-04
2026-07-04 15:16:16 | sweep_n5 | epoch=  0.04 | samples=  1,901,824 | speed= 1,466 sps | loss=0.083223 | lr=4.87e-04
2026-07-04 15:17:24 | sweep_n5 | epoch=  0.04 | samples=  2,001,920 | speed= 1,468 sps | loss=0.082005 | lr=5.01e-04
2026-07-04 15:18:32 | sweep_n5 | epoch=  0.04 | samples=  2,102,016 | speed= 1,466 sps | loss=0.080646 | lr=5.27e-04
2026-07-04 15:19:41 | sweep_n5 | epoch=  0.04 | samples=  2,202,112 | speed= 1,468 sps | loss=0.079471 | lr=5.65e-04
2026-07-04 15:20:49 | sweep_n5 | epoch=  0.05 | samples=  2,302,208 | speed= 1,464 sps | loss=0.078153 | lr=5.88e-04
2026-07-04 15:21:57 | sweep_n5 | epoch=  0.05 | samples=  2,402,304 | speed= 1,468 sps | loss=0.076989 | lr=6.24e-04
2026-07-04 15:23:05 | sweep_n5 | epoch=  0.05 | samples=  2,502,400 | speed= 1,467 sps | loss=0.075729 | lr=6.43e-04
2026-07-04 15:24:14 | sweep_n5 | epoch=  0.05 | samples=  2,602,496 | speed= 1,468 sps | loss=0.074504 | lr=6.76e-04
2026-07-04 15:25:22 | sweep_n5 | epoch=  0.05 | samples=  2,702,592 | speed= 1,467 sps | loss=0.073532 | lr=7.17e-04
2026-07-04 15:26:32 | sweep_n5 | epoch=  0.06 | samples=  2,802,688 | speed= 1,427 sps | loss=0.072598 | lr=7.69e-04
2026-07-04 15:27:40 | sweep_n5 | epoch=  0.06 | samples=  2,902,784 | speed= 1,468 sps | loss=0.071697 | lr=7.84e-04
2026-07-04 15:28:48 | sweep_n5 | epoch=  0.06 | samples=  3,002,880 | speed= 1,470 sps | loss=0.070646 | lr=8.08e-04
2026-07-04 15:29:56 | sweep_n5 | epoch=  0.06 | samples=  3,102,976 | speed= 1,471 sps | loss=0.069605 | lr=8.49e-04
2026-07-04 15:31:05 | sweep_n5 | epoch=  0.06 | samples=  3,203,072 | speed= 1,466 sps | loss=0.068843 | lr=8.84e-04
2026-07-04 15:32:13 | sweep_n5 | epoch=  0.07 | samples=  3,303,168 | speed= 1,472 sps | loss=0.067982 | lr=9.29e-04
2026-07-04 15:33:21 | sweep_n5 | epoch=  0.07 | samples=  3,403,264 | speed= 1,470 sps | loss=0.067287 | lr=9.38e-04
2026-07-04 15:34:23 | sweep_n5 | epoch=  0.07 | samples=  3,503,360 | speed= 1,602 sps | loss=0.066323 | lr=9.67e-04
2026-07-04 15:35:34 | sweep_n5 | epoch=  0.07 | samples=  3,603,456 | speed= 1,413 sps | loss=0.065529 | lr=9.86e-04
2026-07-04 15:36:42 | sweep_n5 | epoch=  0.07 | samples=  3,703,552 | speed= 1,466 sps | loss=0.064847 | lr=1.02e-03
2026-07-04 15:38:20 | sweep_n5 | epoch=  0.08 | samples=  3,803,648 | speed= 1,026 sps | loss=0.064083 | lr=1.05e-03
2026-07-04 15:39:27 | sweep_n5 | epoch=  0.08 | samples=  3,903,744 | speed= 1,483 sps | loss=0.063348 | lr=1.08e-03
2026-07-04 15:40:27 | sweep_n5 | epoch=  0.08 | samples=  4,000,000 | speed= 1,603 sps | loss=0.062824 | lr=1.12e-03
