2026-07-04 13:21:14 | sweep_n3 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.235988 | lr=2.80e-05
2026-07-04 13:22:22 | sweep_n3 | epoch=  0.00 | samples=    200,192 | speed= 1,472 sps | loss=0.139117 | lr=4.60e-05
2026-07-04 13:23:29 | sweep_n3 | epoch=  0.01 | samples=    300,288 | speed= 1,489 sps | loss=0.131180 | lr=6.40e-05
2026-07-04 13:24:37 | sweep_n3 | epoch=  0.01 | samples=    400,384 | speed= 1,469 sps | loss=0.125142 | lr=8.21e-05
2026-07-04 13:25:44 | sweep_n3 | epoch=  0.01 | samples=    500,480 | speed= 1,488 sps | loss=0.117753 | lr=1.01e-04
2026-07-04 13:26:52 | sweep_n3 | epoch=  0.01 | samples=    600,576 | speed= 1,486 sps | loss=0.111036 | lr=1.22e-04
2026-07-04 13:27:59 | sweep_n3 | epoch=  0.01 | samples=    700,672 | speed= 1,486 sps | loss=0.106361 | lr=1.40e-04
2026-07-04 13:29:07 | sweep_n3 | epoch=  0.02 | samples=    800,768 | speed= 1,486 sps | loss=0.102445 | lr=1.64e-04
2026-07-04 13:30:14 | sweep_n3 | epoch=  0.02 | samples=    900,864 | speed= 1,484 sps | loss=0.098814 | lr=1.80e-04
2026-07-04 13:31:21 | sweep_n3 | epoch=  0.02 | samples=  1,000,960 | speed= 1,483 sps | loss=0.095843 | lr=2.03e-04
2026-07-04 13:32:30 | sweep_n3 | epoch=  0.02 | samples=  1,101,056 | speed= 1,451 sps | loss=0.093296 | lr=2.15e-04
2026-07-04 13:33:38 | sweep_n3 | epoch=  0.02 | samples=  1,201,152 | speed= 1,483 sps | loss=0.091341 | lr=2.52e-04
2026-07-04 13:34:45 | sweep_n3 | epoch=  0.03 | samples=  1,301,248 | speed= 1,486 sps | loss=0.089603 | lr=2.70e-04
2026-07-04 13:35:53 | sweep_n3 | epoch=  0.03 | samples=  1,401,344 | speed= 1,480 sps | loss=0.087749 | lr=2.87e-04
2026-07-04 13:37:00 | sweep_n3 | epoch=  0.03 | samples=  1,501,440 | speed= 1,483 sps | loss=0.086075 | lr=3.02e-04
2026-07-04 13:38:08 | sweep_n3 | epoch=  0.03 | samples=  1,601,536 | speed= 1,478 sps | loss=0.084753 | lr=3.30e-04
2026-07-04 13:39:16 | sweep_n3 | epoch=  0.03 | samples=  1,701,632 | speed= 1,480 sps | loss=0.083567 | lr=3.47e-04
2026-07-04 13:40:26 | sweep_n3 | epoch=  0.04 | samples=  1,801,728 | speed= 1,434 sps | loss=0.082324 | lr=3.68e-04
2026-07-04 13:41:33 | sweep_n3 | epoch=  0.04 | samples=  1,901,824 | speed= 1,482 sps | loss=0.081004 | lr=3.87e-04
2026-07-04 13:42:41 | sweep_n3 | epoch=  0.04 | samples=  2,001,920 | speed= 1,482 sps | loss=0.079753 | lr=4.19e-04
2026-07-04 13:43:48 | sweep_n3 | epoch=  0.04 | samples=  2,102,016 | speed= 1,481 sps | loss=0.078568 | lr=4.40e-04
2026-07-04 13:44:56 | sweep_n3 | epoch=  0.04 | samples=  2,202,112 | speed= 1,485 sps | loss=0.077068 | lr=4.63e-04
2026-07-04 13:46:03 | sweep_n3 | epoch=  0.05 | samples=  2,302,208 | speed= 1,479 sps | loss=0.075610 | lr=5.06e-04
2026-07-04 13:47:11 | sweep_n3 | epoch=  0.05 | samples=  2,402,304 | speed= 1,480 sps | loss=0.074294 | lr=5.27e-04
2026-07-04 13:48:18 | sweep_n3 | epoch=  0.05 | samples=  2,502,400 | speed= 1,483 sps | loss=0.072793 | lr=5.48e-04
2026-07-04 13:49:26 | sweep_n3 | epoch=  0.05 | samples=  2,602,496 | speed= 1,480 sps | loss=0.071440 | lr=5.76e-04
2026-07-04 13:50:34 | sweep_n3 | epoch=  0.05 | samples=  2,702,592 | speed= 1,482 sps | loss=0.070219 | lr=6.30e-04
2026-07-04 13:51:43 | sweep_n3 | epoch=  0.06 | samples=  2,802,688 | speed= 1,444 sps | loss=0.069071 | lr=6.76e-04
2026-07-04 13:52:50 | sweep_n3 | epoch=  0.06 | samples=  2,902,784 | speed= 1,487 sps | loss=0.067916 | lr=7.10e-04
2026-07-04 13:54:28 | sweep_n3 | epoch=  0.06 | samples=  3,002,880 | speed= 1,024 sps | loss=0.066735 | lr=7.32e-04
2026-07-04 13:55:35 | sweep_n3 | epoch=  0.06 | samples=  3,102,976 | speed= 1,492 sps | loss=0.065440 | lr=7.84e-04
2026-07-04 13:56:42 | sweep_n3 | epoch=  0.06 | samples=  3,203,072 | speed= 1,489 sps | loss=0.064476 | lr=8.16e-04
2026-07-04 13:57:50 | sweep_n3 | epoch=  0.07 | samples=  3,303,168 | speed= 1,484 sps | loss=0.063251 | lr=8.41e-04
2026-07-04 13:58:52 | sweep_n3 | epoch=  0.07 | samples=  3,403,264 | speed= 1,618 sps | loss=0.066795 | lr=8.49e-04
2026-07-04 13:59:59 | sweep_n3 | epoch=  0.07 | samples=  3,503,360 | speed= 1,480 sps | loss=0.062574 | lr=6.76e-04
2026-07-04 14:01:09 | sweep_n3 | epoch=  0.07 | samples=  3,603,456 | speed= 1,430 sps | loss=0.059544 | lr=7.11e-04
2026-07-04 14:02:11 | sweep_n3 | epoch=  0.07 | samples=  3,703,552 | speed= 1,617 sps | loss=0.059699 | lr=7.25e-04
2026-07-04 14:03:19 | sweep_n3 | epoch=  0.08 | samples=  3,803,648 | speed= 1,480 sps | loss=0.057066 | lr=5.83e-04
2026-07-04 14:04:26 | sweep_n3 | epoch=  0.08 | samples=  3,903,744 | speed= 1,479 sps | loss=0.056201 | lr=6.07e-04
2026-07-04 14:05:26 | sweep_n3 | epoch=  0.08 | samples=  4,000,000 | speed= 1,608 sps | loss=0.054579 | lr=6.19e-04
