2026-07-03 13:49:06 | sweep_bottleneck64 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.308882 | lr=2.80e-05
2026-07-03 13:50:18 | sweep_bottleneck64 | epoch=  0.00 | samples=    200,192 | speed= 1,403 sps | loss=0.201668 | lr=4.60e-05
2026-07-03 13:51:29 | sweep_bottleneck64 | epoch=  0.01 | samples=    300,288 | speed= 1,396 sps | loss=0.195956 | lr=6.40e-05
2026-07-03 13:52:41 | sweep_bottleneck64 | epoch=  0.01 | samples=    400,384 | speed= 1,393 sps | loss=0.190308 | lr=8.20e-05
2026-07-03 13:53:53 | sweep_bottleneck64 | epoch=  0.01 | samples=    500,480 | speed= 1,390 sps | loss=0.183248 | lr=1.01e-04
2026-07-03 13:55:08 | sweep_bottleneck64 | epoch=  0.01 | samples=    600,576 | speed= 1,335 sps | loss=0.177651 | lr=1.20e-04
2026-07-03 13:56:21 | sweep_bottleneck64 | epoch=  0.01 | samples=    700,672 | speed= 1,370 sps | loss=0.173700 | lr=1.33e-04
2026-07-03 13:57:34 | sweep_bottleneck64 | epoch=  0.02 | samples=    800,768 | speed= 1,366 sps | loss=0.170809 | lr=1.55e-04
2026-07-03 13:58:48 | sweep_bottleneck64 | epoch=  0.02 | samples=    900,864 | speed= 1,363 sps | loss=0.168811 | lr=1.73e-04
2026-07-03 14:00:01 | sweep_bottleneck64 | epoch=  0.02 | samples=  1,000,960 | speed= 1,360 sps | loss=0.167215 | lr=1.85e-04
2026-07-03 14:01:14 | sweep_bottleneck64 | epoch=  0.02 | samples=  1,101,056 | speed= 1,372 sps | loss=0.165568 | lr=1.91e-04
2026-07-03 14:02:28 | sweep_bottleneck64 | epoch=  0.02 | samples=  1,201,152 | speed= 1,356 sps | loss=0.162871 | lr=2.05e-04
2026-07-03 14:04:11 | sweep_bottleneck64 | epoch=  0.03 | samples=  1,301,248 | speed=   974 sps | loss=0.161766 | lr=2.15e-04
2026-07-03 14:05:23 | sweep_bottleneck64 | epoch=  0.03 | samples=  1,401,344 | speed= 1,397 sps | loss=0.160004 | lr=2.28e-04
2026-07-03 14:06:29 | sweep_bottleneck64 | epoch=  0.03 | samples=  1,501,440 | speed= 1,508 sps | loss=0.164244 | lr=2.45e-04
2026-07-03 14:07:37 | sweep_bottleneck64 | epoch=  0.03 | samples=  1,601,536 | speed= 1,468 sps | loss=0.199755 | lr=2.45e-04
2026-07-03 14:08:45 | sweep_bottleneck64 | epoch=  0.03 | samples=  1,701,632 | speed= 1,469 sps | loss=0.186356 | lr=1.84e-04
2026-07-03 14:09:54 | sweep_bottleneck64 | epoch=  0.04 | samples=  1,801,728 | speed= 1,462 sps | loss=0.175012 | lr=1.38e-04
2026-07-03 14:11:02 | sweep_bottleneck64 | epoch=  0.04 | samples=  1,901,824 | speed= 1,458 sps | loss=0.175887 | lr=1.03e-04
2026-07-03 14:12:11 | sweep_bottleneck64 | epoch=  0.04 | samples=  2,001,920 | speed= 1,457 sps | loss=0.168190 | lr=1.03e-04
2026-07-03 14:13:20 | sweep_bottleneck64 | epoch=  0.04 | samples=  2,102,016 | speed= 1,462 sps | loss=0.164709 | lr=7.75e-05
2026-07-03 14:14:28 | sweep_bottleneck64 | epoch=  0.04 | samples=  2,202,112 | speed= 1,461 sps | loss=0.162766 | lr=5.81e-05
2026-07-03 14:15:36 | sweep_bottleneck64 | epoch=  0.05 | samples=  2,302,208 | speed= 1,466 sps | loss=0.161369 | lr=4.36e-05
2026-07-03 14:16:45 | sweep_bottleneck64 | epoch=  0.05 | samples=  2,402,304 | speed= 1,462 sps | loss=0.160162 | lr=3.27e-05
2026-07-03 14:17:53 | sweep_bottleneck64 | epoch=  0.05 | samples=  2,502,400 | speed= 1,463 sps | loss=0.159236 | lr=3.27e-05
2026-07-03 14:19:02 | sweep_bottleneck64 | epoch=  0.05 | samples=  2,602,496 | speed= 1,460 sps | loss=0.158488 | lr=2.45e-05
2026-07-03 14:20:10 | sweep_bottleneck64 | epoch=  0.05 | samples=  2,702,592 | speed= 1,463 sps | loss=0.157839 | lr=1.84e-05
2026-07-03 14:21:24 | sweep_bottleneck64 | epoch=  0.06 | samples=  2,802,688 | speed= 1,349 sps | loss=0.157354 | lr=1.86e-05
2026-07-03 14:22:33 | sweep_bottleneck64 | epoch=  0.06 | samples=  2,902,784 | speed= 1,468 sps | loss=0.157108 | lr=1.88e-05
2026-07-03 14:23:47 | sweep_bottleneck64 | epoch=  0.06 | samples=  3,002,880 | speed= 1,350 sps | loss=0.156794 | lr=1.43e-05
2026-07-03 14:25:00 | sweep_bottleneck64 | epoch=  0.06 | samples=  3,102,976 | speed= 1,362 sps | loss=0.156421 | lr=1.48e-05
2026-07-03 14:26:08 | sweep_bottleneck64 | epoch=  0.06 | samples=  3,203,072 | speed= 1,473 sps | loss=0.156083 | lr=1.51e-05
2026-07-03 14:27:22 | sweep_bottleneck64 | epoch=  0.07 | samples=  3,303,168 | speed= 1,348 sps | loss=0.155901 | lr=1.51e-05
2026-07-03 14:28:36 | sweep_bottleneck64 | epoch=  0.07 | samples=  3,403,264 | speed= 1,362 sps | loss=0.155562 | lr=1.13e-05
2026-07-03 14:29:50 | sweep_bottleneck64 | epoch=  0.07 | samples=  3,503,360 | speed= 1,360 sps | loss=0.155426 | lr=8.48e-06
2026-07-03 14:31:03 | sweep_bottleneck64 | epoch=  0.07 | samples=  3,603,456 | speed= 1,362 sps | loss=0.155114 | lr=6.36e-06
2026-07-03 14:32:11 | sweep_bottleneck64 | epoch=  0.07 | samples=  3,703,552 | speed= 1,474 sps | loss=0.154977 | lr=6.36e-06
2026-07-03 14:33:19 | sweep_bottleneck64 | epoch=  0.08 | samples=  3,803,648 | speed= 1,468 sps | loss=0.154864 | lr=4.77e-06
2026-07-03 14:34:34 | sweep_bottleneck64 | epoch=  0.08 | samples=  3,903,744 | speed= 1,340 sps | loss=0.154719 | lr=3.58e-06
2026-07-03 14:35:39 | sweep_bottleneck64 | epoch=  0.08 | samples=  4,000,000 | speed= 1,469 sps | loss=0.154643 | lr=2.68e-06
