total_samples,speed_sps,train_loss,val_loss,lr
100096,0.0,0.3009684424266181,0.17056370155368952,1.8986175115207373e-05
200192,1479.7,0.16387368029798083,0.15668590024163917,2.799539170506913e-05
300288,1457.7,0.15500162362747485,0.151263200956921,3.700460829493088e-05
400384,1436.0,0.15096743370565918,0.14783918606024612,4.6013824884792635e-05
500480,1437.4,0.1470834482508852,0.14298893644951624,5.502304147465439e-05
600576,1437.0,0.14034389595851263,0.13385127381329298,6.403225806451613e-05
700672,1399.3,0.1310879891485814,0.12474441848928894,7.304147465437789e-05
800768,1434.3,0.1234823794621031,0.11805050321726486,8.205069124423963e-05
900864,1434.0,0.11767759236990644,0.11270421285588872,9.105990783410139e-05
1000960,1425.0,0.11315459295002091,0.10883844236616717,0.00010201000000000001
1101056,1428.1,0.11062638591165128,0.10690602131829281,0.00011494742132376225
1201152,1431.4,0.10857717755734159,0.10514722438693638,0.00012824319950172338
1301248,1426.8,0.1070826840027214,0.10371595338167475,0.00013749406785310974
1401344,1379.9,0.10565974877770905,0.10229168267013845,0.00014741225085031893
1501440,1431.4,0.10418748304895732,0.10071833181970218,0.00015493175715154746
1601536,1427.4,0.10312273519118424,0.09971117180936687,0.00016944658106775735
1701632,1426.3,0.10182137385277493,0.09824837395120609,0.00017458098192069146
1801728,1418.5,0.10054229638155769,0.09681987997658312,0.00018166966985640905
1901824,1006.2,0.09924666097630626,0.09543466302911134,0.00018348636655497315
2001920,1477.6,0.09804369631173361,0.09439567849642287,0.0001967222202132521
2102016,1441.8,0.09704787891996486,0.09348273125543848,0.00020675703052211333
2202112,1432.4,0.09603097943393775,0.09227556299496356,0.00021730371700757358
2302208,1424.6,0.09500831445617139,0.0911364501421995,0.00022388823693662006
2402304,1389.2,0.09389124086598301,0.09004239226917216,0.00023766187499075331
2502400,1430.0,0.09293859330055963,0.08906454648053368,0.0002522828693323005
2602496,1427.8,0.09191309043284877,0.08772862983452899,0.0002548056980256235
2702592,1429.0,0.09086450599038692,0.08687456773779048,0.00027591805873929
2802688,1413.9,0.09001750323702307,0.08612273051596316,0.00028999265273907594
2902784,1426.2,0.08895134171256629,0.08473506249283524,0.0003078330444087674
3002880,1429.9,0.08799497891798654,0.08380981384244596,0.0003203323004222715
3102976,1378.2,0.08695869172549309,0.08316394477485456,0.00033667246711545986
3203072,1426.5,0.08612782325204986,0.08223553787892139,0.00035034271933694067
3303168,1416.8,0.08506699415195323,0.08084359259722516,0.00036456803861632505
3403264,1432.7,0.08411352481226177,0.08031610425106554,0.00038316467253100253
3503360,1426.1,0.0833036391364644,0.07921214768012798,0.00039086628244887567
