2026-07-05 00:45:21 | sweep_noise_prob0.1 | epoch=  0.08 | samples=  4,103,936 | speed= 1,428 sps | loss=0.063760 | lr=1.14e-03
2026-07-05 00:46:25 | sweep_noise_prob0.1 | epoch=  0.08 | samples=  4,204,032 | speed= 1,553 sps | loss=0.063143 | lr=1.19e-03
2026-07-05 00:47:35 | sweep_noise_prob0.1 | epoch=  0.09 | samples=  4,304,128 | speed= 1,425 sps | loss=0.062598 | lr=1.23e-03
2026-07-05 00:48:45 | sweep_noise_prob0.1 | epoch=  0.09 | samples=  4,404,224 | speed= 1,427 sps | loss=0.061916 | lr=1.25e-03
2026-07-05 00:49:56 | sweep_noise_prob0.1 | epoch=  0.09 | samples=  4,504,320 | speed= 1,426 sps | loss=0.061386 | lr=1.28e-03
2026-07-05 00:51:00 | sweep_noise_prob0.1 | epoch=  0.09 | samples=  4,604,416 | speed= 1,552 sps | loss=0.060853 | lr=1.32e-03
2026-07-05 00:52:10 | sweep_noise_prob0.1 | epoch=  0.09 | samples=  4,704,512 | speed= 1,423 sps | loss=0.060337 | lr=1.34e-03
2026-07-05 00:53:21 | sweep_noise_prob0.1 | epoch=  0.10 | samples=  4,804,608 | speed= 1,425 sps | loss=0.059857 | lr=1.37e-03
2026-07-05 00:54:25 | sweep_noise_prob0.1 | epoch=  0.10 | samples=  4,904,704 | speed= 1,552 sps | loss=0.059469 | lr=1.44e-03
2026-07-05 00:55:36 | sweep_noise_prob0.1 | epoch=  0.10 | samples=  5,004,800 | speed= 1,424 sps | loss=0.059328 | lr=1.47e-03
2026-07-05 00:56:46 | sweep_noise_prob0.1 | epoch=  0.10 | samples=  5,104,896 | speed= 1,426 sps | loss=0.058957 | lr=1.48e-03
2026-07-05 00:57:56 | sweep_noise_prob0.1 | epoch=  0.10 | samples=  5,204,992 | speed= 1,426 sps | loss=0.057283 | lr=1.19e-03
2026-07-05 00:59:06 | sweep_noise_prob0.1 | epoch=  0.11 | samples=  5,305,088 | speed= 1,425 sps | loss=0.055707 | lr=1.24e-03
2026-07-05 01:00:48 | sweep_noise_prob0.1 | epoch=  0.11 | samples=  5,405,184 | speed=   986 sps | loss=0.055413 | lr=1.24e-03
2026-07-05 01:01:57 | sweep_noise_prob0.1 | epoch=  0.11 | samples=  5,505,280 | speed= 1,441 sps | loss=0.054882 | lr=1.27e-03
