total_samples,speed_sps,train_loss,val_loss,lr
100096,0.0,0.19796692753386924,0.16780025430563916,0.00027981557377049183
200192,1519.4,0.16430525721796332,0.16346217497034948,0.00046009221311475414
300288,1361.2,0.16059389077793912,0.15996512310380193,0.0006403688524590163
400384,1506.7,0.15640682850957222,0.15492242591465727,0.0008206454918032786
500480,1498.7,0.14965256419785491,0.14697403503047696,0.00101
600576,1499.2,0.14241634637041165,0.1397259923771532,0.0013082088781170807
700672,1347.8,0.13462539013389432,0.13215882077724223,0.001677688921462945
800768,1500.1,0.1271767371984394,0.12545453317132826,0.0020470993121001323
900864,1437.9,0.12181828796025128,0.12137307116259068,0.002448632674648483
1000960,1486.6,0.11801903561481734,0.11648014446559991,0.0028146401171994994
1101056,1487.7,0.1141673562776707,0.11408219719927408,0.0031091137485285535
1201152,1483.1,0.11210217696550252,0.11174266549373076,0.003366724671154601
1301248,1480.3,0.11001150544418399,0.11005349237135521,0.0036095845407556953
1401344,1480.0,0.10817074486056862,0.10996922632963779,0.0038699631925631275
1501440,1389.0,0.10692847632538632,0.10858956386234614,0.004149124350099837
1601536,1487.0,0.10561905570728394,0.10666821648141851,0.004317595436702534
1701632,1484.2,0.10422053900749786,0.10563194207537663,0.0044929071249903575
1801728,1477.0,0.10291740100097169,0.10436308804108417,0.00462904670378469
1901824,1483.4,0.10199995811485574,0.10354962984004701,0.004865174608059986
2001920,1670.7,0.10113791101957526,0.10399476367441705,0.0050627202064974005
2102016,1661.0,0.10033059179249322,0.10381369012039969,0.005320969817873116
2202112,1657.0,0.09940232784318193,0.10487283197784272,0.005537022529567733
2302208,1435.5,0.09848798317906192,0.10230010230504398,0.005761847847728528
2402304,1665.9,0.09733348408394762,0.10396674217403196,0.00593643759936255
2502400,1472.8,0.09697875393854688,0.1007777287651376,0.006301648134508774
2602496,1664.3,0.09631487856740537,0.10115283077893028,0.006623095521562638
2702592,1628.8,0.09527481918978264,0.10090724744059269,0.006892019758351123
2802688,1463.8,0.09432167660854661,0.09923617968395713,0.007243582031514804
