epoch,total_samples,speed_sps,train_loss,val_loss,lr
0.002,100096,0.0,0.2765292619805202,,2.7981557377049184e-05
0.004,200192,1424.8,0.14553464343175865,,4.600922131147541e-05
0.006,300288,1422.7,0.1366033280825676,,6.403688524590163e-05
0.008,400384,1419.8,0.13346416238323808,,8.206454918032786e-05
0.01,500480,1385.5,0.13041141976023574,,0.00010201000000000001
0.012,600576,1414.7,0.1260620041576493,,0.00011725786449236987
0.014,700672,942.8,0.12083590655680508,,0.0001361327404486235
0.016,800768,1427.2,0.11614047316715236,,0.00015037523709241033
0.018,900864,1420.5,0.11181570520943693,,0.00017809005965729736
0.02,1000960,1415.7,0.10806458567262,,0.00020882460082733448
0.022,1101056,1417.8,0.10425219663878536,,0.0002306722744040366
0.024,1201152,1371.3,0.10047588354486334,,0.00025735375500587974
0.026,1301248,1412.3,0.09755877879879359,,0.0002958215050591314
0.028,1401344,1413.8,0.0951091639526055,,0.0003171606934873975
0.03,1501440,1410.5,0.09274425652935682,,0.0003468739795415254
0.032,1601536,1415.2,0.09079127749213782,,0.00037189585619251317
0.034,1701632,1411.5,0.08907825305410054,,0.00039086628244887567
0.036,1801728,1411.6,0.08760898062945022,,0.00043607713910695587
0.038,1901824,1414.3,0.08631147078388487,,0.0004583214558202664
0.04,2001920,1416.2,0.0849478545472445,,0.0004817004562435631
0.042,2102016,1411.0,0.08358472770513475,,0.0005012594263858812
0.044,2202112,1378.4,0.08237479362265228,,0.0005268286948389224
0.046,2302208,1413.1,0.0811281601714966,,0.0005704799849236166
0.048,2402304,994.4,0.07992171762925585,,0.0005995801975356175
0.05,2502400,1425.9,0.07862268205341476,,0.0006177480771011443
0.052,2602496,1418.5,0.07745694672055256,,0.0006623095521562638
0.054,2702592,1416.8,0.07648587303088449,,0.0006960939955934633
0.056,2802688,1412.3,0.07553073133120451,,0.0007243582031514804
0.058,2902784,1536.3,0.07457152405358336,,0.0007537700508758251
0.06,3002880,1365.5,0.07356346438607901,,0.0007766100371874136
0.062,3102976,1414.3,0.07259760581700088,,0.0008001420979242294
0.064,3203072,1412.6,0.072011992087602,,0.0008409573864264635
0.066,3303168,1412.0,0.07117614451119357,,0.0008664392361925717
0.068,3403264,1415.6,0.0704521311785254,,0.0009106363450393605
0.07,3503360,998.8,0.06982704131956906,,0.0009382295369303982
0.072,3603456,1424.6,0.06901565659076661,,0.0009666588301289262
0.074,3703552,1419.4,0.06834728518486632,,0.0009959495593406629
0.076,3803648,1414.0,0.06751697508575362,,0.0010059090549340696
0.078,3903744,1536.2,0.06692607205389711,,0.0010572205262223005
0.0799,4000000,1524.2,0.06642002150654158,,0.0010784706587993688
0.002,100096,0.0,0.27675515950640756,,2.7981557377049184e-05
0.004,200192,1537.9,0.1453907190610076,,4.600922131147541e-05
0.006,300288,1534.5,0.1365529958473142,,6.403688524590163e-05
0.008,400384,1532.1,0.13332681937138444,,8.206454918032786e-05
0.01,500480,1530.8,0.13034156124915003,,0.00010201000000000001
0.012,600576,1528.8,0.12625485092706387,,0.00012571630183484304
0.014,700672,1528.3,0.12121549894666428,,0.00014595272361417715
0.016,800768,1527.5,0.11627165401530692,,0.00017632679173989837
0.018,900864,1527.5,0.11212300987499754,,0.00020268310020793385
0.02,1000960,1527.3,0.10788301199369724,,0.00023297899714807695
0.022,1101056,1526.5,0.10386324391874206,,0.00026515183113631286
0.024,1201152,1527.1,0.09989658373472331,,0.0002958215050591314
0.026,1301248,1526.7,0.09678848268811965,,0.00032677097966075913
0.028,1401344,1517.3,0.09427113834854282,,0.0003538461465303101
0.03,1501440,1518.7,0.09195583843437911,,0.00038316467253100253
0.032,1601536,1518.6,0.09003866738294397,,0.00041080439109899365
0.034,1701632,1517.6,0.08842858401558283,,0.00043607713910695587
0.036,1801728,1517.9,0.08684131914697339,,0.00046290467037846903
0.038,1901824,1518.1,0.08558359079043884,,0.0004913826354140587
0.04,2001920,1517.5,0.08430386915841066,,0.0005320969817873116
0.042,2102016,1517.1,0.08317078621414921,,0.0005592392754863411
0.044,2202112,1517.2,0.08200178981360877,,0.0005761847847728527
0.046,2302208,1525.6,0.08055601482424894,,0.0006055759995109737
0.048,2402304,1511.2,0.07923168346019047,,0.0006301648134508773
0.05,2502400,1521.0,0.07803506548980922,,0.0006623095521562638
0.052,2602496,1520.8,0.07693385851124059,,0.000703054935549398
0.054,2702592,1520.0,0.07601519719795193,,0.0007389178030348251
0.056,2802688,1520.5,0.07506294920087775,,0.0007689208288984293
0.058,2902784,1527.2,0.07418149627764206,,0.0008001420979242294
0.06,3002880,1527.3,0.07317231418302907,,0.0008243872036334315
0.062,3102976,1522.6,0.07245194805247704,,0.0008578606298936353
0.064,3203072,1505.1,0.07152473774102643,,0.0008751036285544974
0.066,3303168,1512.7,0.0707061905842608,,0.0009197427084897541
0.068,3403264,1518.5,0.07016216178455621,,0.0009666588301289262
0.07,3503360,1518.0,0.06959127402290359,,0.0010159681454834104
0.072,3603456,1517.8,0.06905075315090702,,0.0010572205262223005
0.074,3703552,1526.5,0.06843616845815079,,0.001100147919041236
0.076,3803648,1507.0,0.06793089632106863,,0.0011448183361474657
0.078,3903744,1398.1,0.0673278343799474,,0.0011913025513165807
0.0799,4000000,1523.3,0.06680934899981986,,0.001215247732598044
