2026-07-04 20:15:17 | sweep_trapezoid_alpha0.1 | epoch=  0.08 | samples=  3,903,744 | speed= 1,536 sps | loss=0.066926 | lr=1.06e-03
2026-07-04 20:16:20 | sweep_trapezoid_alpha0.1 | epoch=  0.08 | samples=  4,000,000 | speed= 1,524 sps | loss=0.066420 | lr=1.08e-03
2026-07-05 09:19:25 | sweep_trapezoid_alpha0.1 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.276755 | lr=2.80e-05
2026-07-05 09:20:30 | sweep_trapezoid_alpha0.1 | epoch=  0.00 | samples=    200,192 | speed= 1,538 sps | loss=0.145391 | lr=4.60e-05
2026-07-05 09:21:35 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    300,288 | speed= 1,534 sps | loss=0.136553 | lr=6.40e-05
2026-07-05 09:22:40 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    400,384 | speed= 1,532 sps | loss=0.133327 | lr=8.21e-05
2026-07-05 09:23:46 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    500,480 | speed= 1,531 sps | loss=0.130342 | lr=1.02e-04
2026-07-05 09:24:51 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    600,576 | speed= 1,529 sps | loss=0.126255 | lr=1.26e-04
2026-07-05 09:25:57 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    700,672 | speed= 1,528 sps | loss=0.121215 | lr=1.46e-04
2026-07-05 09:27:02 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=    800,768 | speed= 1,528 sps | loss=0.116272 | lr=1.76e-04
2026-07-05 09:28:08 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=    900,864 | speed= 1,528 sps | loss=0.112123 | lr=2.03e-04
2026-07-05 09:29:13 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=  1,000,960 | speed= 1,527 sps | loss=0.107883 | lr=2.33e-04
2026-07-05 09:30:19 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=  1,101,056 | speed= 1,526 sps | loss=0.103863 | lr=2.65e-04
2026-07-05 09:31:24 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=  1,201,152 | speed= 1,527 sps | loss=0.099897 | lr=2.96e-04
2026-07-05 09:32:30 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,301,248 | speed= 1,527 sps | loss=0.096788 | lr=3.27e-04
2026-07-05 09:33:36 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,401,344 | speed= 1,517 sps | loss=0.094271 | lr=3.54e-04
2026-07-05 09:34:42 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,501,440 | speed= 1,519 sps | loss=0.091956 | lr=3.83e-04
2026-07-05 09:35:48 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,601,536 | speed= 1,519 sps | loss=0.090039 | lr=4.11e-04
2026-07-05 09:36:54 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,701,632 | speed= 1,518 sps | loss=0.088429 | lr=4.36e-04
2026-07-05 09:38:00 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  1,801,728 | speed= 1,518 sps | loss=0.086841 | lr=4.63e-04
2026-07-05 09:39:06 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  1,901,824 | speed= 1,518 sps | loss=0.085584 | lr=4.91e-04
2026-07-05 09:40:12 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  2,001,920 | speed= 1,518 sps | loss=0.084304 | lr=5.32e-04
2026-07-05 09:41:18 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  2,102,016 | speed= 1,517 sps | loss=0.083171 | lr=5.59e-04
2026-07-05 09:42:24 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  2,202,112 | speed= 1,517 sps | loss=0.082002 | lr=5.76e-04
2026-07-05 09:43:29 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,302,208 | speed= 1,526 sps | loss=0.080556 | lr=6.06e-04
2026-07-05 09:44:35 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,402,304 | speed= 1,511 sps | loss=0.079232 | lr=6.30e-04
2026-07-05 09:45:41 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,502,400 | speed= 1,521 sps | loss=0.078035 | lr=6.62e-04
2026-07-05 09:46:47 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,602,496 | speed= 1,521 sps | loss=0.076934 | lr=7.03e-04
2026-07-05 09:47:53 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,702,592 | speed= 1,520 sps | loss=0.076015 | lr=7.39e-04
2026-07-05 09:48:59 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  2,802,688 | speed= 1,520 sps | loss=0.075063 | lr=7.69e-04
2026-07-05 09:50:04 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  2,902,784 | speed= 1,527 sps | loss=0.074181 | lr=8.00e-04
2026-07-05 09:51:10 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  3,002,880 | speed= 1,527 sps | loss=0.073172 | lr=8.24e-04
2026-07-05 09:52:15 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  3,102,976 | speed= 1,523 sps | loss=0.072452 | lr=8.58e-04
2026-07-05 09:53:22 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  3,203,072 | speed= 1,505 sps | loss=0.071525 | lr=8.75e-04
2026-07-05 09:54:28 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,303,168 | speed= 1,513 sps | loss=0.070706 | lr=9.20e-04
2026-07-05 09:55:34 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,403,264 | speed= 1,518 sps | loss=0.070162 | lr=9.67e-04
2026-07-05 09:56:40 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,503,360 | speed= 1,518 sps | loss=0.069591 | lr=1.02e-03
2026-07-05 09:57:46 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,603,456 | speed= 1,518 sps | loss=0.069051 | lr=1.06e-03
2026-07-05 09:58:52 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,703,552 | speed= 1,526 sps | loss=0.068436 | lr=1.10e-03
2026-07-05 09:59:58 | sweep_trapezoid_alpha0.1 | epoch=  0.08 | samples=  3,803,648 | speed= 1,507 sps | loss=0.067931 | lr=1.14e-03
2026-07-05 10:01:10 | sweep_trapezoid_alpha0.1 | epoch=  0.08 | samples=  3,903,744 | speed= 1,398 sps | loss=0.067328 | lr=1.19e-03
2026-07-05 10:02:13 | sweep_trapezoid_alpha0.1 | epoch=  0.08 | samples=  4,000,000 | speed= 1,523 sps | loss=0.066809 | lr=1.22e-03
