2026-06-29 21:25:29 | n4_b1p75 | samples=  4,003,840 | speed= 3,550 sps | loss=0.084590 | val=0.082288 | lr=2.43e-04 | D=-- | D'=--
2026-06-29 21:25:57 | n4_b1p75 | samples=  4,103,936 | speed= 3,538 sps | loss=0.084562 | val=0.082322 | lr=3.11e-04 | D=-- | D'=--
2026-06-29 21:26:29 | n4_b1p75 | samples=  4,204,032 | speed= 3,144 sps | loss=0.084413 | val=0.081938 | lr=1.35e-04 | D=-- | D'=--
2026-06-29 21:27:01 | n4_b1p75 | samples=  4,304,128 | speed= 3,151 sps | loss=0.084173 | val=0.081763 | lr=7.32e-05 | D=-- | D'=--
2026-06-29 21:27:33 | n4_b1p75 | samples=  4,404,224 | speed= 3,155 sps | loss=0.083966 | val=0.081658 | lr=4.53e-05 | D=-- | D'=--
2026-06-29 21:28:04 | n4_b1p75 | samples=  4,504,320 | speed= 3,172 sps | loss=0.083989 | val=0.081657 | lr=8.48e-05 | D=-- | D'=--
2026-06-29 21:28:36 | n4_b1p75 | samples=  4,604,416 | speed= 3,152 sps | loss=0.083934 | val=0.081640 | lr=1.16e-04 | D=-- | D'=--
2026-06-29 21:29:08 | n4_b1p75 | samples=  4,704,512 | speed= 3,153 sps | loss=0.083903 | val=0.081614 | lr=1.35e-04 | D=-- | D'=--
2026-06-29 21:29:36 | n4_b1p75 | samples=  4,804,608 | speed= 3,553 sps | loss=0.083859 | val=0.081652 | lr=2.16e-04 | D=-- | D'=--
2026-06-29 21:30:08 | n4_b1p75 | samples=  4,904,704 | speed= 3,158 sps | loss=0.083866 | val=0.081451 | lr=1.51e-04 | D=-- | D'=--
2026-06-29 21:30:39 | n4_b1p75 | samples=  5,004,800 | speed= 3,158 sps | loss=0.083676 | val=0.081317 | lr=1.45e-04 | D=-- | D'=--
2026-06-29 21:31:11 | n4_b1p75 | samples=  5,104,896 | speed= 3,158 sps | loss=0.083546 | val=0.081224 | lr=1.24e-04 | D=-- | D'=--
2026-06-29 21:31:42 | n4_b1p75 | samples=  5,204,992 | speed= 3,196 sps | loss=0.083593 | val=0.081215 | lr=1.55e-04 | D=-- | D'=--
2026-06-29 21:32:14 | n4_b1p75 | samples=  5,305,088 | speed= 3,196 sps | loss=0.083468 | val=0.081143 | lr=1.73e-04 | D=-- | D'=--
2026-06-29 21:32:42 | n4_b1p75 | samples=  5,405,184 | speed= 3,554 sps | loss=0.083425 | val=0.081155 | lr=2.33e-04 | D=-- | D'=--
2026-06-29 21:33:13 | n4_b1p75 | samples=  5,505,280 | speed= 3,157 sps | loss=0.083561 | val=0.081062 | lr=2.29e-04 | D=-- | D'=--
2026-06-29 21:33:45 | n4_b1p75 | samples=  5,605,376 | speed= 3,159 sps | loss=0.083258 | val=0.080775 | lr=1.40e-04 | D=-- | D'=--
2026-06-29 21:34:17 | n4_b1p75 | samples=  5,705,472 | speed= 3,155 sps | loss=0.083032 | val=0.080634 | lr=1.03e-04 | D=-- | D'=--
2026-06-29 21:35:01 | n4_b1p75 | samples=  5,805,568 | speed= 2,271 sps | loss=0.083000 | val=0.080546 | lr=1.14e-04 | D=-- | D'=--
2026-06-29 21:35:29 | n4_b1p75 | samples=  5,905,664 | speed= 3,589 sps | loss=0.083121 | val=0.080821 | lr=3.01e-04 | D=-- | D'=--
2026-06-29 21:36:00 | n4_b1p75 | samples=  6,005,760 | speed= 3,177 sps | loss=0.083002 | val=0.080506 | lr=2.01e-04 | D=-- | D'=--
2026-06-29 21:36:32 | n4_b1p75 | samples=  6,105,856 | speed= 3,163 sps | loss=0.082697 | val=0.080259 | lr=1.25e-04 | D=-- | D'=--
2026-06-29 21:37:04 | n4_b1p75 | samples=  6,205,952 | speed= 3,174 sps | loss=0.082555 | val=0.080147 | lr=1.18e-04 | D=-- | D'=--
2026-06-29 21:37:35 | n4_b1p75 | samples=  6,306,048 | speed= 3,197 sps | loss=0.082449 | val=0.080049 | lr=1.10e-04 | D=-- | D'=--
2026-06-29 21:38:06 | n4_b1p75 | samples=  6,406,144 | speed= 3,173 sps | loss=0.082487 | val=0.080017 | lr=1.05e-04 | D=-- | D'=--
2026-06-29 21:38:38 | n4_b1p75 | samples=  6,506,240 | speed= 3,182 sps | loss=0.082364 | val=0.079893 | lr=9.38e-05 | D=-- | D'=--
2026-06-29 21:39:10 | n4_b1p75 | samples=  6,606,336 | speed= 3,160 sps | loss=0.082278 | val=0.079832 | lr=7.02e-05 | D=-- | D'=--
2026-06-29 21:39:41 | n4_b1p75 | samples=  6,706,432 | speed= 3,165 sps | loss=0.082205 | val=0.079764 | lr=7.32e-05 | D=-- | D'=--
2026-06-29 21:40:09 | n4_b1p75 | samples=  6,806,528 | speed= 3,563 sps | loss=0.082203 | val=0.079792 | lr=1.01e-04 | D=-- | D'=--
2026-06-29 21:40:41 | n4_b1p75 | samples=  6,906,624 | speed= 3,163 sps | loss=0.082128 | val=0.079742 | lr=1.19e-04 | D=-- | D'=--
2026-06-29 21:41:13 | n4_b1p75 | samples=  7,006,720 | speed= 3,166 sps | loss=0.082124 | val=0.079660 | lr=1.27e-04 | D=-- | D'=--
2026-06-29 21:41:44 | n4_b1p75 | samples=  7,106,816 | speed= 3,165 sps | loss=0.082048 | val=0.079579 | lr=1.39e-04 | D=-- | D'=--
2026-06-29 21:42:16 | n4_b1p75 | samples=  7,206,912 | speed= 3,144 sps | loss=0.081921 | val=0.079474 | lr=7.17e-05 | D=-- | D'=--
2026-06-29 21:42:48 | n4_b1p75 | samples=  7,307,008 | speed= 3,170 sps | loss=0.081865 | val=0.079423 | lr=9.87e-05 | D=-- | D'=--
2026-06-29 21:43:19 | n4_b1p75 | samples=  7,407,104 | speed= 3,167 sps | loss=0.081846 | val=0.079388 | lr=8.01e-05 | D=-- | D'=--
2026-06-29 21:43:51 | n4_b1p75 | samples=  7,507,200 | speed= 3,179 sps | loss=0.081817 | val=0.079364 | lr=1.04e-04 | D=-- | D'=--
2026-06-29 21:44:22 | n4_b1p75 | samples=  7,607,296 | speed= 3,165 sps | loss=0.081760 | val=0.079292 | lr=9.03e-05 | D=-- | D'=--
2026-06-29 21:44:54 | n4_b1p75 | samples=  7,707,392 | speed= 3,167 sps | loss=0.081659 | val=0.079217 | lr=6.89e-05 | D=-- | D'=--
2026-06-29 21:45:25 | n4_b1p75 | samples=  7,807,488 | speed= 3,164 sps | loss=0.081642 | val=0.079115 | lr=4.35e-05 | D=-- | D'=--
2026-06-29 21:45:54 | n4_b1p75 | samples=  7,907,584 | speed= 3,564 sps | loss=0.081488 | val=0.079173 | lr=9.15e-05 | D=-- | D'=--
2026-06-29 21:46:25 | n4_b1p75 | samples=  8,007,680 | speed= 3,178 sps | loss=0.081629 | val=0.079049 | lr=7.00e-05 | D=-- | D'=--
2026-06-29 21:46:57 | n4_b1p75 | samples=  8,107,776 | speed= 3,160 sps | loss=0.081450 | val=0.078995 | lr=4.71e-05 | D=-- | D'=--
2026-06-29 21:47:28 | n4_b1p75 | samples=  8,207,872 | speed= 3,161 sps | loss=0.081485 | val=0.078978 | lr=4.37e-05 | D=-- | D'=--
2026-06-29 21:48:00 | n4_b1p75 | samples=  8,307,968 | speed= 3,156 sps | loss=0.081344 | val=0.078953 | lr=6.35e-05 | D=-- | D'=--
2026-06-29 21:48:31 | n4_b1p75 | samples=  8,408,064 | speed= 3,209 sps | loss=0.081322 | val=0.078935 | lr=8.35e-05 | D=-- | D'=--
2026-06-29 21:49:06 | n4_b1p75 | samples=  8,508,160 | speed= 2,909 sps | loss=0.081410 | val=0.078904 | lr=1.43e-04 | D=-- | D'=--
2026-06-29 21:49:34 | n4_b1p75 | samples=  8,608,256 | speed= 3,569 sps | loss=0.081375 | val=0.078998 | lr=1.72e-04 | D=-- | D'=--
2026-06-29 21:50:05 | n4_b1p75 | samples=  8,708,352 | speed= 3,163 sps | loss=0.081340 | val=0.078814 | lr=1.08e-04 | D=-- | D'=--
2026-06-29 21:50:37 | n4_b1p75 | samples=  8,808,448 | speed= 3,166 sps | loss=0.081248 | val=0.078724 | lr=1.18e-04 | D=-- | D'=--
2026-06-29 21:51:05 | n4_b1p75 | samples=  8,908,544 | speed= 3,560 sps | loss=0.081199 | val=0.078745 | lr=1.51e-04 | D=-- | D'=--
2026-06-29 21:51:33 | n4_b1p75 | samples=  9,008,640 | speed= 3,548 sps | loss=0.081121 | val=0.078789 | lr=1.98e-04 | D=-- | D'=--
2026-06-29 21:52:02 | n4_b1p75 | samples=  9,108,736 | speed= 3,542 sps | loss=0.081316 | val=0.078826 | lr=2.51e-04 | D=-- | D'=--
2026-06-29 21:52:33 | n4_b1p75 | samples=  9,208,832 | speed= 3,146 sps | loss=0.081079 | val=0.078561 | lr=2.08e-04 | D=-- | D'=--
2026-06-29 21:53:02 | n4_b1p75 | samples=  9,308,928 | speed= 3,545 sps | loss=0.080998 | val=0.078598 | lr=2.69e-04 | D=-- | D'=--
2026-06-29 21:53:30 | n4_b1p75 | samples=  9,409,024 | speed= 3,537 sps | loss=0.081245 | val=0.079521 | lr=5.95e-04 | D=-- | D'=--
2026-06-29 21:53:58 | n4_b1p75 | samples=  9,509,120 | speed= 3,537 sps | loss=0.081410 | val=0.079279 | lr=6.28e-04 | D=-- | D'=--
