total_samples,speed_sps,train_loss,val_loss,lr
100096,0.0,0.2006364366816133,0.16466718184063586,0.00028018433179723503
200192,3251.0,0.1606002200366286,0.1578001425687661,0.00046036866359447007
300288,2799.9,0.15528326331044706,0.15314233851435655,0.0006405529953917051
400384,2807.8,0.14959266381647884,0.14566925737043293,0.0008207373271889401
500480,3224.3,0.13953465394809117,0.13460549296192945,0.0009995391705069124
600576,3208.4,0.13082207198185689,0.12868952914408324,0.0015756274628816313
700672,2548.0,0.12628345450629358,0.12769397171905145,0.003105231253193256
800768,3202.4,0.12357282350816386,0.1263998066976542,0.005798550598411909
900864,3220.8,0.11979148839898121,0.12326935028402548,0.010255901506154188
1000960,3593.4,0.11889632023356454,0.12420058080367889,0.01613366211137382
1101056,3579.8,0.11817052215337753,0.1257620817130453,0.024302120169772668
1201152,2951.6,0.12273439982205706,0.10964502807213414,0.02799845822656333
1301248,3226.1,0.09797989840016645,0.09053928020420259,0.005534900803022038
1401344,3221.3,0.09024760281414632,0.08695034342513024,0.0012786340573050638
1501440,3215.4,0.08845590841968345,0.08599927405984431,0.00046459183695531553
1601536,3163.6,0.08790687023831145,0.0856327489857138,0.000232308228062499
1701632,3176.2,0.08761441459893571,0.08545188682918799,0.00019349073312044385
1801728,3170.2,0.08747469553785861,0.08527765877963783,0.00018014409454080696
1901824,3160.6,0.08735440147426123,0.08517448177367364,0.00031997230168982825
2001920,3158.5,0.08722366891858523,0.08502843293032336,0.0003973364294338593
2102016,3164.5,0.08707563956375317,0.08488025415270965,0.0004615409155219179
2202112,3206.5,0.0869890810240565,0.08465098469594094,0.0005093633124009592
2302208,3165.6,0.08648918212755867,0.08409441179520921,0.0002518706195346246
2402304,3176.5,0.08608274386666925,0.08380684205978985,0.0002162455131474618
2502400,3169.0,0.08593365618639895,0.08378763712111784,0.0003215595823021264
2602496,3150.8,0.08590543656931508,0.08376362276077151,0.0004546487061858826
2702592,3155.9,0.08582084103847099,0.08335357477694665,0.00029471116561870155
2802688,3167.4,0.08534697142174787,0.08298349288890712,0.00015530328159734015
2902784,3209.3,0.08513088430971136,0.08280725825136394,8.433915596241165e-05
3002880,3163.4,0.08500631189788393,0.08270423478181592,7.758436801266175e-05
3102976,3185.4,0.08490667107236355,0.08265231208297646,0.00010954745721127199
3203072,3165.1,0.08484843544795385,0.08259543790401219,0.00010564486789098597
3303168,3159.6,0.08483760253242824,0.08246901571248612,5.7588023269334456e-05
3403264,3163.1,0.08472732725122091,0.08242689920467947,7.941297002861992e-05
3503360,3159.3,0.08464324885926892,0.08236038406409206,7.037568814558743e-05
3603456,3186.1,0.08455507350547234,0.08233464870885102,8.683857000108116e-05
3703552,3166.2,0.08458178867693142,0.08227001802743635,6.628144527835188e-05
