total_samples,speed_sps,train_loss,val_loss,lr
100096,0.0,0.20467486695560347,0.17410235202027194,0.00018986175115207375
200192,1370.6,0.1693524618435394,0.16646416799702302,0.0002799539170506913
300288,1248.9,0.16441088335593337,0.16327811338078382,0.00037004608294930873
400384,1362.7,0.16193725347823804,0.1616002706931246,0.00046013824884792633
500480,1348.3,0.15996725034073492,0.15918704029408728,0.0005502304147465439
600576,1324.0,0.15757970976860017,0.15634481366894415,0.0006403225806451612
700672,1052.6,0.15423198032866964,0.1526518882253633,0.0007304147465437788
800768,1338.9,0.14980641963994107,0.14772457442385845,0.0008205069124423963
900864,1228.8,0.14434049958768097,0.14184875967070612,0.0009105990783410139
1000960,1354.3,0.13799153207360632,0.13568358866828856,0.0010303010000000002
1101056,1146.4,0.13234992047100116,0.1313465554945636,0.0011961474756866655
1201152,1359.4,0.12781810901506477,0.12627535579356977,0.0014025769861695729
1301248,1040.4,0.12348422175630584,0.12339666592244547,0.00162834833845929
1401344,1367.3,0.12026478071956684,0.12018175698041873,0.00185321230220523
1501440,1108.7,0.1176133565128307,0.11841504969776594,0.0020882460082733453
1601536,1216.1,0.1153047601585193,0.11583738873366588,0.002283883904990463
1701632,1360.2,0.11385746589859429,0.11461975268627468,0.002497850191408917
1801728,1131.7,0.11221220571061839,0.11375102244906851,0.0026780334944767614
1901824,1358.5,0.11117175777854822,0.1127150276352721,0.0028427865183714945
2001920,1024.7,0.10992538193455133,0.11261610545226466,0.002987797201097229
2102016,1366.0,0.10926757316531428,0.11077214721586191,0.0031402048860138393
2202112,1135.6,0.10832324105760326,0.10996743517053643,0.003366724671154601
2302208,1311.9,0.10766483574648343,0.10944525038506854,0.0034343958370448083
2402304,1332.8,0.1068118311026517,0.10901585654617772,0.0036095845407556953
2502400,1466.5,0.10619748345650065,0.1091825954140659,0.0037561481475443846
2602496,1290.7,0.10540003009388209,0.1087282855055721,0.0038699631925631275
2702592,1214.8,0.10505824307422809,0.10858488521328387,0.004108043910989938
2802688,1340.3,0.10434570959995469,0.10798419483870424,0.004274846967032212
2902784,1308.6,0.10372323923937195,0.10730729825834699,0.0044043791049802545
3002880,1321.2,0.10263526677856664,0.10512240462675353,0.004448422896030057
3102976,1449.8,0.10205633162766162,0.10530673005680927,0.00462904670378469
3203072,1286.6,0.10127599099103142,0.10386853750946136,0.004769311447956069
3303168,1463.2,0.10067814504703902,0.1052466759048241,0.004913826354140586
3403264,1412.5,0.10031271020850867,0.10389200567650733,0.0050627202064974005
3503360,1296.4,0.09953342860235888,0.10326251607337922,0.005164480882647999
3603456,1304.5,0.09905661208093014,0.10320489966071461,0.005320969817873116
3703552,1314.9,0.09863607396783731,0.10257866461924221,0.005427921311212365
3803648,1308.3,0.09788038814083085,0.10190326811320205,0.005537022529567733
3903744,1206.7,0.09755749735609649,0.10140971120170254,0.005704799849236166
4003840,1476.0,0.09727506743520117,0.1017269672399483,0.005819466326205813
4103936,1286.4,0.09702865059113563,0.1000937508413245,0.005995801975356175
4204032,1306.0,0.09656746794119515,0.0994399876295277,0.006055759995109738
4304128,1451.1,0.09624783159293177,0.10149395129464618,0.006177480771011444
4404224,1290.2,0.0959402431764871,0.09933175862967425,0.006301648134508774
4504320,1452.5,0.09548033972073089,0.10007897527839382,0.006492594374632525
4604416,1278.1,0.09545874831926487,0.09856946627976493,0.006623095521562638
4704512,1446.6,0.09529049608789747,0.09911509508343368,0.006689326476778265
4804608,1420.7,0.09472687256610607,0.09863910944511717,0.0068237819389615085
4904704,1282.0,0.09450560261297714,0.0979678256959993,0.006892019758351123
5004800,1449.5,0.09407292603684203,0.09905902019846718,0.006960939955934635
5104896,1276.2,0.09371777545765538,0.09759581767279424,0.006960939955934635
5204992,1303.2,0.08995517373771009,0.09301406892607522,0.005941649242011604
5305088,1308.1,0.088657860637016,0.08807672481698609,0.004971682489725238
5405184,1448.6,0.08718963647666185,0.0896910342003805,0.004971682489725238
5505280,1193.2,0.0848597144646108,0.08563036868826843,0.004201662203468421
5605376,1315.7,0.0843349962931155,0.08149306685329638,0.0032791999031960063
