epoch,total_samples,speed_sps,train_loss,val_loss,lr
0.002,100096,0.0,0.21601029007178743,,2.7981557377049184e-05
0.004,200192,1448.2,0.1382282672788176,,4.600922131147541e-05
0.006,300288,1444.1,0.13105165786907802,,6.403688524590163e-05
0.008,400384,1461.4,0.12304977487648844,,8.206454918032786e-05
0.01,500480,1459.1,0.11384579867048336,,0.000101
0.012,600576,1451.8,0.10676944238679184,,0.00012081089504435318
0.014,700672,1403.4,0.10234312743634519,,0.00014307687835915807
0.016,800768,1448.3,0.09845221724808978,,0.00015804588547029355
0.018,900864,1579.3,0.10325050445468835,,0.00017114104687843492
0.02,1000960,1574.7,0.17749449069542653,,0.0001283557851588262
0.022,1101056,1572.8,0.15367086399394228,,0.0001283557851588262
0.024,1201152,1545.6,0.12933778953369315,,9.626683886911964e-05
0.026,1301248,1557.3,0.11477140575418691,,7.220012915183973e-05
0.028,1401344,1550.0,0.10556613934009582,,5.415009686387979e-05
0.03,1501440,1550.9,0.10044833832918226,,4.061257264790984e-05
0.032,1601536,1428.8,0.09720554500056044,,4.061257264790984e-05
0.034,1701632,1444.2,0.09496959075903344,,3.201316651002721e-05
0.036,1801728,1444.1,0.09356014678240432,,3.331302944313202e-05
0.038,1901824,1445.8,0.09231223053563281,,3.4665672023771254e-05
0.04,2001920,1451.7,0.09130125085030065,,3.5716076551763546e-05
0.042,2102016,1449.7,0.09028851498118447,,3.8292468309705934e-05
0.044,2202112,1450.6,0.08951550007552442,,3.867539299280299e-05
0.046,2302208,1453.0,0.08874371708811396,,4.105470899427309e-05
0.048,2402304,1414.2,0.08810018172578128,,4.2298707731508564e-05
0.05,2502400,1455.0,0.0874646560424734,,4.358040087448101e-05
0.052,2602496,1455.3,0.08690399762309725,,4.4456366932058084e-05
0.054,2702592,1453.8,0.08639061136547561,,4.4900930601378665e-05
0.056,2802688,1453.6,0.08586068354223085,,4.719132932089162e-05
0.058,2902784,1450.6,0.08541227071105367,,4.813987504024154e-05
0.06,3002880,1449.6,0.0848918091077024,,4.862127379064396e-05
0.062,3102976,1400.9,0.08439439434148467,,5.059549247785201e-05
0.064,3203072,1450.1,0.08397880036507727,,5.21285864954234e-05
0.066,3303168,1450.1,0.08352256148977352,,5.264987236037764e-05
0.068,3403264,1452.0,0.08309335617915443,,5.370813479482123e-05
0.07,3503360,1455.5,0.0826945294580801,,4.0281101096115924e-05
0.072,3603456,1451.9,0.08191699323141971,,4.1916675327833636e-05
0.074,3703552,1451.5,0.08139889544385778,,4.2335842081111974e-05
0.076,3803648,1451.8,0.0811851796172464,,4.318679250694233e-05
0.078,3903744,1449.1,0.08083662792773502,,4.405484703633187e-05
0.0799,4000000,1572.7,0.08055651386050468,,4.449539550669519e-05
