2026-07-04 12:35:11 | sweep_n2 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.216010 | lr=2.80e-05
2026-07-04 12:36:20 | sweep_n2 | epoch=  0.00 | samples=    200,192 | speed= 1,448 sps | loss=0.138228 | lr=4.60e-05
2026-07-04 12:37:29 | sweep_n2 | epoch=  0.01 | samples=    300,288 | speed= 1,444 sps | loss=0.131052 | lr=6.40e-05
2026-07-04 12:38:38 | sweep_n2 | epoch=  0.01 | samples=    400,384 | speed= 1,461 sps | loss=0.123050 | lr=8.21e-05
2026-07-04 12:39:46 | sweep_n2 | epoch=  0.01 | samples=    500,480 | speed= 1,459 sps | loss=0.113846 | lr=1.01e-04
2026-07-04 12:40:55 | sweep_n2 | epoch=  0.01 | samples=    600,576 | speed= 1,452 sps | loss=0.106769 | lr=1.21e-04
2026-07-04 12:42:07 | sweep_n2 | epoch=  0.01 | samples=    700,672 | speed= 1,403 sps | loss=0.102343 | lr=1.43e-04
2026-07-04 12:43:16 | sweep_n2 | epoch=  0.02 | samples=    800,768 | speed= 1,448 sps | loss=0.098452 | lr=1.58e-04
2026-07-04 12:44:19 | sweep_n2 | epoch=  0.02 | samples=    900,864 | speed= 1,579 sps | loss=0.103251 | lr=1.71e-04
2026-07-04 12:45:23 | sweep_n2 | epoch=  0.02 | samples=  1,000,960 | speed= 1,575 sps | loss=0.177494 | lr=1.28e-04
2026-07-04 12:46:26 | sweep_n2 | epoch=  0.02 | samples=  1,101,056 | speed= 1,573 sps | loss=0.153671 | lr=1.28e-04
2026-07-04 12:47:31 | sweep_n2 | epoch=  0.02 | samples=  1,201,152 | speed= 1,546 sps | loss=0.129338 | lr=9.63e-05
2026-07-04 12:48:35 | sweep_n2 | epoch=  0.03 | samples=  1,301,248 | speed= 1,557 sps | loss=0.114771 | lr=7.22e-05
2026-07-04 12:49:40 | sweep_n2 | epoch=  0.03 | samples=  1,401,344 | speed= 1,550 sps | loss=0.105566 | lr=5.42e-05
2026-07-04 12:50:44 | sweep_n2 | epoch=  0.03 | samples=  1,501,440 | speed= 1,551 sps | loss=0.100448 | lr=4.06e-05
2026-07-04 12:51:54 | sweep_n2 | epoch=  0.03 | samples=  1,601,536 | speed= 1,429 sps | loss=0.097206 | lr=4.06e-05
2026-07-04 12:53:04 | sweep_n2 | epoch=  0.03 | samples=  1,701,632 | speed= 1,444 sps | loss=0.094970 | lr=3.20e-05
2026-07-04 12:54:13 | sweep_n2 | epoch=  0.04 | samples=  1,801,728 | speed= 1,444 sps | loss=0.093560 | lr=3.33e-05
2026-07-04 12:55:22 | sweep_n2 | epoch=  0.04 | samples=  1,901,824 | speed= 1,446 sps | loss=0.092312 | lr=3.47e-05
2026-07-04 12:56:31 | sweep_n2 | epoch=  0.04 | samples=  2,001,920 | speed= 1,452 sps | loss=0.091301 | lr=3.57e-05
2026-07-04 12:57:40 | sweep_n2 | epoch=  0.04 | samples=  2,102,016 | speed= 1,450 sps | loss=0.090289 | lr=3.83e-05
2026-07-04 12:58:49 | sweep_n2 | epoch=  0.04 | samples=  2,202,112 | speed= 1,451 sps | loss=0.089516 | lr=3.87e-05
2026-07-04 12:59:58 | sweep_n2 | epoch=  0.05 | samples=  2,302,208 | speed= 1,453 sps | loss=0.088744 | lr=4.11e-05
2026-07-04 13:01:09 | sweep_n2 | epoch=  0.05 | samples=  2,402,304 | speed= 1,414 sps | loss=0.088100 | lr=4.23e-05
2026-07-04 13:02:18 | sweep_n2 | epoch=  0.05 | samples=  2,502,400 | speed= 1,455 sps | loss=0.087465 | lr=4.36e-05
2026-07-04 13:03:27 | sweep_n2 | epoch=  0.05 | samples=  2,602,496 | speed= 1,455 sps | loss=0.086904 | lr=4.45e-05
2026-07-04 13:04:35 | sweep_n2 | epoch=  0.05 | samples=  2,702,592 | speed= 1,454 sps | loss=0.086391 | lr=4.49e-05
2026-07-04 13:05:44 | sweep_n2 | epoch=  0.06 | samples=  2,802,688 | speed= 1,454 sps | loss=0.085861 | lr=4.72e-05
2026-07-04 13:06:53 | sweep_n2 | epoch=  0.06 | samples=  2,902,784 | speed= 1,451 sps | loss=0.085412 | lr=4.81e-05
2026-07-04 13:08:02 | sweep_n2 | epoch=  0.06 | samples=  3,002,880 | speed= 1,450 sps | loss=0.084892 | lr=4.86e-05
2026-07-04 13:09:14 | sweep_n2 | epoch=  0.06 | samples=  3,102,976 | speed= 1,401 sps | loss=0.084394 | lr=5.06e-05
2026-07-04 13:10:23 | sweep_n2 | epoch=  0.06 | samples=  3,203,072 | speed= 1,450 sps | loss=0.083979 | lr=5.21e-05
2026-07-04 13:11:32 | sweep_n2 | epoch=  0.07 | samples=  3,303,168 | speed= 1,450 sps | loss=0.083523 | lr=5.26e-05
2026-07-04 13:12:41 | sweep_n2 | epoch=  0.07 | samples=  3,403,264 | speed= 1,452 sps | loss=0.083093 | lr=5.37e-05
2026-07-04 13:13:50 | sweep_n2 | epoch=  0.07 | samples=  3,503,360 | speed= 1,456 sps | loss=0.082695 | lr=4.03e-05
2026-07-04 13:14:58 | sweep_n2 | epoch=  0.07 | samples=  3,603,456 | speed= 1,452 sps | loss=0.081917 | lr=4.19e-05
2026-07-04 13:16:07 | sweep_n2 | epoch=  0.07 | samples=  3,703,552 | speed= 1,452 sps | loss=0.081399 | lr=4.23e-05
2026-07-04 13:17:16 | sweep_n2 | epoch=  0.08 | samples=  3,803,648 | speed= 1,452 sps | loss=0.081185 | lr=4.32e-05
2026-07-04 13:18:25 | sweep_n2 | epoch=  0.08 | samples=  3,903,744 | speed= 1,449 sps | loss=0.080837 | lr=4.41e-05
