2026-07-05 12:20:59 | sweep_noise_prob0.2 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.248656 | lr=2.80e-05
2026-07-05 12:22:09 | sweep_noise_prob0.2 | epoch=  0.00 | samples=    200,192 | speed= 1,432 sps | loss=0.142442 | lr=4.60e-05
2026-07-05 12:23:19 | sweep_noise_prob0.2 | epoch=  0.01 | samples=    300,288 | speed= 1,427 sps | loss=0.134766 | lr=6.40e-05
2026-07-05 12:24:29 | sweep_noise_prob0.2 | epoch=  0.01 | samples=    400,384 | speed= 1,428 sps | loss=0.130575 | lr=8.21e-05
2026-07-05 12:25:39 | sweep_noise_prob0.2 | epoch=  0.01 | samples=    500,480 | speed= 1,425 sps | loss=0.126060 | lr=1.01e-04
2026-07-05 12:26:50 | sweep_noise_prob0.2 | epoch=  0.01 | samples=    600,576 | speed= 1,423 sps | loss=0.120719 | lr=1.20e-04
2026-07-05 12:28:30 | sweep_noise_prob0.2 | epoch=  0.01 | samples=    700,672 | speed= 1,002 sps | loss=0.115410 | lr=1.39e-04
2026-07-05 12:29:40 | sweep_noise_prob0.2 | epoch=  0.02 | samples=    800,768 | speed= 1,431 sps | loss=0.110925 | lr=1.58e-04
2026-07-05 12:30:44 | sweep_noise_prob0.2 | epoch=  0.02 | samples=    900,864 | speed= 1,545 sps | loss=0.189618 | lr=1.61e-04
2026-07-05 12:31:49 | sweep_noise_prob0.2 | epoch=  0.02 | samples=  1,000,960 | speed= 1,543 sps | loss=0.212293 | lr=1.21e-04
2026-07-05 12:32:54 | sweep_noise_prob0.2 | epoch=  0.02 | samples=  1,101,056 | speed= 1,532 sps | loss=0.184431 | lr=9.07e-05
2026-07-05 12:34:00 | sweep_noise_prob0.2 | epoch=  0.02 | samples=  1,201,152 | speed= 1,532 sps | loss=0.170912 | lr=6.80e-05
2026-07-05 12:35:06 | sweep_noise_prob0.2 | epoch=  0.03 | samples=  1,301,248 | speed= 1,521 sps | loss=0.159764 | lr=6.80e-05
2026-07-05 12:36:11 | sweep_noise_prob0.2 | epoch=  0.03 | samples=  1,401,344 | speed= 1,522 sps | loss=0.152106 | lr=5.10e-05
2026-07-05 12:37:17 | sweep_noise_prob0.2 | epoch=  0.03 | samples=  1,501,440 | speed= 1,516 sps | loss=0.146578 | lr=3.83e-05
2026-07-05 12:38:24 | sweep_noise_prob0.2 | epoch=  0.03 | samples=  1,601,536 | speed= 1,514 sps | loss=0.141117 | lr=2.87e-05
2026-07-05 12:39:29 | sweep_noise_prob0.2 | epoch=  0.03 | samples=  1,701,632 | speed= 1,524 sps | loss=0.136734 | lr=2.87e-05
2026-07-05 12:40:35 | sweep_noise_prob0.2 | epoch=  0.04 | samples=  1,801,728 | speed= 1,522 sps | loss=0.133479 | lr=2.15e-05
2026-07-05 12:41:41 | sweep_noise_prob0.2 | epoch=  0.04 | samples=  1,901,824 | speed= 1,518 sps | loss=0.131164 | lr=1.61e-05
2026-07-05 12:42:47 | sweep_noise_prob0.2 | epoch=  0.04 | samples=  2,001,920 | speed= 1,515 sps | loss=0.129149 | lr=1.21e-05
2026-07-05 12:43:53 | sweep_noise_prob0.2 | epoch=  0.04 | samples=  2,102,016 | speed= 1,518 sps | loss=0.127605 | lr=9.08e-06
2026-07-05 12:44:59 | sweep_noise_prob0.2 | epoch=  0.04 | samples=  2,202,112 | speed= 1,524 sps | loss=0.126431 | lr=9.08e-06
2026-07-05 12:46:05 | sweep_noise_prob0.2 | epoch=  0.05 | samples=  2,302,208 | speed= 1,518 sps | loss=0.125498 | lr=6.81e-06
