
[KLoaded 20 text files — 50,102,558 characters total
Sweep: noise_sweep_n4  (grid over noise_prob)
  seq_len=128  target=8M samples  budget=384.0M
  workspace: sessions/noise_sweep  |  log: sessions/noise_sweep_summary.csv

    vary    n        b      params
     0.2    4    2.777  384,025,902
    0.25    4    2.777  384,025,902

──────────────────────────────────────────────────
[noise_prob=0.2]
  arch: 2688→8584→7837→7091→6344→160→6344→7091→7837→8584→2688
  params: 384,025,902  batch: 256
  Loaded uint8 cache: 131.5 MB
  noise: prob=0.2, std=3.0
  training 8,000,000 samples...

[Ksamples=     25,088 | loss=0.468125 | speed=0 sps | lr=1.45e-05
[Ksamples=     50,176 | loss=0.339465 | speed=1783 sps | lr=1.90e-05
[Ksamples=     75,264 | loss=0.280322 | speed=1779 sps | lr=2.35e-052026-07-05 12:20:59 | sweep_noise_prob0.2 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.248656 | lr=2.80e-05

[Ksamples=    125,184 | loss=0.147792 | speed=1258 sps | lr=3.25e-05
[Ksamples=    150,272 | loss=0.145629 | speed=1773 sps | lr=3.70e-05
[Ksamples=    175,360 | loss=0.143874 | speed=1771 sps | lr=4.15e-052026-07-05 12:22:09 | sweep_noise_prob0.2 | epoch=  0.00 | samples=    200,192 | speed= 1,432 sps | loss=0.142442 | lr=4.60e-05

[Ksamples=    225,280 | loss=0.136597 | speed=1199 sps | lr=5.05e-05
[Ksamples=    250,368 | loss=0.135958 | speed=1768 sps | lr=5.50e-05
[Ksamples=    275,456 | loss=0.135326 | speed=1766 sps | lr=5.96e-052026-07-05 12:23:19 | sweep_noise_prob0.2 | epoch=  0.01 | samples=    300,288 | speed= 1,427 sps | loss=0.134766 | lr=6.40e-05

[Ksamples=    325,376 | loss=0.132024 | speed=1196 sps | lr=6.86e-05
[Ksamples=    350,464 | loss=0.131609 | speed=1766 sps | lr=7.31e-05
[Ksamples=    375,552 | loss=0.131088 | speed=1765 sps | lr=7.76e-052026-07-05 12:24:29 | sweep_noise_prob0.2 | epoch=  0.01 | samples=    400,384 | speed= 1,428 sps | loss=0.130575 | lr=8.21e-05

[Ksamples=    425,472 | loss=0.127789 | speed=1198 sps | lr=8.66e-05
[Ksamples=    450,560 | loss=0.127326 | speed=1764 sps | lr=9.11e-05
[Ksamples=    475,648 | loss=0.126704 | speed=1763 sps | lr=9.56e-052026-07-05 12:25:39 | sweep_noise_prob0.2 | epoch=  0.01 | samples=    500,480 | speed= 1,425 sps | loss=0.126060 | lr=1.01e-04

[Ksamples=    525,568 | loss=0.122848 | speed=1194 sps | lr=1.09e-04
[Ksamples=    550,656 | loss=0.122140 | speed=1763 sps | lr=1.13e-04
[Ksamples=    575,744 | loss=0.121460 | speed=1763 sps | lr=1.17e-042026-07-05 12:26:50 | sweep_noise_prob0.2 | epoch=  0.01 | samples=    600,576 | speed= 1,423 sps | loss=0.120719 | lr=1.20e-04

[Ksamples=    625,664 | loss=0.117220 | speed=1192 sps | lr=1.23e-04
[Ksamples=    650,752 | loss=0.116557 | speed=1763 sps | lr=1.31e-04
[Ksamples=    675,840 | loss=0.115976 | speed=1762 sps | lr=1.36e-042026-07-05 12:28:30 | sweep_noise_prob0.2 | epoch=  0.01 | samples=    700,672 | speed= 1,002 sps | loss=0.115410 | lr=1.39e-04

[Ksamples=    725,760 | loss=0.112762 | speed=700 sps | lr=1.42e-04
[Ksamples=    750,848 | loss=0.112162 | speed=1776 sps | lr=1.45e-04
[Ksamples=    775,936 | loss=0.111511 | speed=1772 sps | lr=1.52e-042026-07-05 12:29:40 | sweep_noise_prob0.2 | epoch=  0.02 | samples=    800,768 | speed= 1,431 sps | loss=0.110925 | lr=1.58e-04

[Ksamples=    825,856 | loss=0.114792 | speed=1196 sps | lr=1.61e-04
[Ksamples=    850,944 | loss=0.151989 | speed=1768 sps | lr=1.61e-04
[Ksamples=    876,032 | loss=0.174804 | speed=1766 sps | lr=1.61e-042026-07-05 12:30:44 | sweep_noise_prob0.2 | epoch=  0.02 | samples=    900,864 | speed= 1,545 sps | loss=0.189618 | lr=1.61e-04

[Ksamples=    925,952 | loss=0.232821 | speed=1370 sps | lr=1.61e-04
[Ksamples=    951,040 | loss=0.226187 | speed=1763 sps | lr=1.21e-04
[Ksamples=    976,128 | loss=0.218736 | speed=1762 sps | lr=1.21e-042026-07-05 12:31:49 | sweep_noise_prob0.2 | epoch=  0.02 | samples=  1,000,960 | speed= 1,543 sps | loss=0.212293 | lr=1.21e-04

[Ksamples=  1,026,048 | loss=0.183755 | speed=1369 sps | lr=1.21e-04
[Ksamples=  1,051,136 | loss=0.182685 | speed=1760 sps | lr=1.21e-04
[Ksamples=  1,076,224 | loss=0.185140 | speed=1760 sps | lr=9.07e-052026-07-05 12:32:54 | sweep_noise_prob0.2 | epoch=  0.02 | samples=  1,101,056 | speed= 1,532 sps | loss=0.184431 | lr=9.07e-05
