epoch,total_samples,speed_sps,train_loss,val_loss,lr
0.002,100096,0.0,0.39322451309627277,,2.7981557377049184e-05
0.004,200192,1472.4,0.16496696180242407,,4.600922131147541e-05
0.006,300288,1425.9,0.1430925039760292,,6.403688524590163e-05
0.008,400384,1470.2,0.13571353573018632,,8.206454918032786e-05
0.01,500480,1468.2,0.13183915698924636,,0.00010201000000000001
0.012,600576,1459.1,0.1282780985431293,,0.00012081089504435318
0.014,700672,1453.9,0.12337377293945273,,0.00014595272361417715
0.016,800768,1021.2,0.11768426281183272,,0.00018348636655497315
0.018,900864,1480.7,0.1129331617899563,,0.00021091284683560782
0.02,1000960,1475.6,0.10874053460481527,,0.00024243887867806747
0.022,1101056,1471.2,0.10477633745697758,,0.00026515183113631286
0.024,1201152,1470.5,0.10092013634150596,,0.0003140204886013836
0.026,1301248,1430.8,0.0977764097625947,,0.00034003919178661446
0.028,1401344,1468.6,0.09548530674270352,,0.00036456803861632505
0.03,1501440,1030.1,0.0937511211313555,,0.00039086628244887567
0.032,1601536,1482.3,0.09243178077975807,,0.0004149124350099836
0.034,1701632,1475.8,0.09136719092764818,,0.00044043791049802546
0.036,1801728,1471.6,0.09034625195023958,,0.00047693114479560703
0.038,1901824,1471.1,0.08951855803389683,,0.0005012594263858812
0.04,2001920,1420.4,0.08865052871310802,,0.0005216125691474479
0.042,2102016,1471.6,0.08776068881801936,,0.0005374179516051847
0.044,2202112,1468.9,0.0868103155661422,,0.0005592392754863411
0.046,2302208,1467.5,0.08598263845647998,,0.0005819466326205812
0.048,2402304,1468.9,0.08508869108107998,,0.0006177480771011443
0.05,2502400,1470.0,0.08428788007906331,,0.000636466461585386
0.052,2602496,1466.1,0.0833842229774541,,0.0006623095521562638
0.054,2702592,1467.4,0.08251654981728405,,0.0006892019758351122
0.056,2802688,1466.6,0.0815737410770048,,0.000710085484904892
0.058,2902784,1468.9,0.08060447429604542,,0.0007389178030348251
0.06,3002880,1427.6,0.07969102232962313,,0.0007613077513845834
0.062,3102976,1470.4,0.07882778045466489,,0.0008001420979242294
0.064,3203072,1470.4,0.07790734146333411,,0.0008243872036334315
0.066,3303168,1470.3,0.07703690714848316,,0.0008838546648400424
0.068,3403264,1470.4,0.07604063580484341,,0.0009106363450393605
0.07,3503360,1469.7,0.07493109743842079,,0.0009476118322997021
0.072,3603456,1471.2,0.07393288034993364,,0.0009860886726145177
0.074,3703552,1419.4,0.07282022160032521,,0.0010261278269382446
0.076,3803648,1472.8,0.07167313762409303,,0.0010784706587993688
0.078,3903744,1470.9,0.07079073954421236,,0.0011111493982316485
0.0799,4000000,1594.6,0.06978462886144506,,0.0011678291847040299
