2026-07-03 15:25:08 | sweep_bottleneck128 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.289445 | lr=2.80e-05
2026-07-03 15:26:17 | sweep_bottleneck128 | epoch=  0.00 | samples=    200,192 | speed= 1,464 sps | loss=0.161737 | lr=4.60e-05
2026-07-03 15:27:26 | sweep_bottleneck128 | epoch=  0.01 | samples=    300,288 | speed= 1,442 sps | loss=0.153780 | lr=6.40e-05
2026-07-03 15:28:35 | sweep_bottleneck128 | epoch=  0.01 | samples=    400,384 | speed= 1,445 sps | loss=0.150133 | lr=8.20e-05
2026-07-03 15:29:45 | sweep_bottleneck128 | epoch=  0.01 | samples=    500,480 | speed= 1,440 sps | loss=0.144681 | lr=1.01e-04
2026-07-03 15:30:54 | sweep_bottleneck128 | epoch=  0.01 | samples=    600,576 | speed= 1,442 sps | loss=0.135656 | lr=1.46e-04
2026-07-03 15:32:04 | sweep_bottleneck128 | epoch=  0.01 | samples=    700,672 | speed= 1,439 sps | loss=0.127366 | lr=1.80e-04
2026-07-03 15:33:13 | sweep_bottleneck128 | epoch=  0.02 | samples=    800,768 | speed= 1,440 sps | loss=0.121224 | lr=2.22e-04
2026-07-03 15:34:23 | sweep_bottleneck128 | epoch=  0.02 | samples=    900,864 | speed= 1,444 sps | loss=0.115702 | lr=2.68e-04
2026-07-03 15:35:32 | sweep_bottleneck128 | epoch=  0.02 | samples=  1,000,960 | speed= 1,443 sps | loss=0.111652 | lr=3.05e-04
2026-07-03 15:37:12 | sweep_bottleneck128 | epoch=  0.02 | samples=  1,101,056 | speed= 1,002 sps | loss=0.108192 | lr=3.37e-04
2026-07-03 15:38:19 | sweep_bottleneck128 | epoch=  0.02 | samples=  1,201,152 | speed= 1,490 sps | loss=0.105538 | lr=3.65e-04
2026-07-03 15:39:28 | sweep_bottleneck128 | epoch=  0.03 | samples=  1,301,248 | speed= 1,450 sps | loss=0.103193 | lr=3.95e-04
2026-07-03 15:40:36 | sweep_bottleneck128 | epoch=  0.03 | samples=  1,401,344 | speed= 1,468 sps | loss=0.101494 | lr=4.11e-04
2026-07-03 15:41:46 | sweep_bottleneck128 | epoch=  0.03 | samples=  1,501,440 | speed= 1,444 sps | loss=0.099889 | lr=4.40e-04
2026-07-03 15:42:55 | sweep_bottleneck128 | epoch=  0.03 | samples=  1,601,536 | speed= 1,447 sps | loss=0.098337 | lr=4.68e-04
2026-07-03 15:44:04 | sweep_bottleneck128 | epoch=  0.03 | samples=  1,701,632 | speed= 1,442 sps | loss=0.097100 | lr=4.91e-04
2026-07-03 15:45:14 | sweep_bottleneck128 | epoch=  0.04 | samples=  1,801,728 | speed= 1,442 sps | loss=0.095722 | lr=5.11e-04
2026-07-03 15:46:23 | sweep_bottleneck128 | epoch=  0.04 | samples=  1,901,824 | speed= 1,439 sps | loss=0.094608 | lr=5.48e-04
2026-07-03 15:47:33 | sweep_bottleneck128 | epoch=  0.04 | samples=  2,001,920 | speed= 1,444 sps | loss=0.093459 | lr=5.59e-04
2026-07-03 15:48:42 | sweep_bottleneck128 | epoch=  0.04 | samples=  2,102,016 | speed= 1,445 sps | loss=0.092253 | lr=5.94e-04
2026-07-03 15:49:51 | sweep_bottleneck128 | epoch=  0.04 | samples=  2,202,112 | speed= 1,439 sps | loss=0.091161 | lr=6.12e-04
2026-07-03 15:51:01 | sweep_bottleneck128 | epoch=  0.05 | samples=  2,302,208 | speed= 1,441 sps | loss=0.090153 | lr=6.43e-04
2026-07-03 15:52:10 | sweep_bottleneck128 | epoch=  0.05 | samples=  2,402,304 | speed= 1,443 sps | loss=0.089223 | lr=6.82e-04
2026-07-03 15:53:51 | sweep_bottleneck128 | epoch=  0.05 | samples=  2,502,400 | speed=   996 sps | loss=0.088210 | lr=7.17e-04
2026-07-03 15:54:58 | sweep_bottleneck128 | epoch=  0.05 | samples=  2,602,496 | speed= 1,488 sps | loss=0.087145 | lr=7.39e-04
2026-07-03 15:56:06 | sweep_bottleneck128 | epoch=  0.05 | samples=  2,702,592 | speed= 1,479 sps | loss=0.086144 | lr=7.61e-04
2026-07-03 15:57:15 | sweep_bottleneck128 | epoch=  0.06 | samples=  2,802,688 | speed= 1,449 sps | loss=0.085126 | lr=7.92e-04
2026-07-03 15:58:24 | sweep_bottleneck128 | epoch=  0.06 | samples=  2,902,784 | speed= 1,444 sps | loss=0.084280 | lr=8.24e-04
2026-07-03 15:59:36 | sweep_bottleneck128 | epoch=  0.06 | samples=  3,002,880 | speed= 1,398 sps | loss=0.083462 | lr=8.49e-04
2026-07-03 16:00:45 | sweep_bottleneck128 | epoch=  0.06 | samples=  3,102,976 | speed= 1,445 sps | loss=0.082819 | lr=8.84e-04
2026-07-03 16:01:54 | sweep_bottleneck128 | epoch=  0.06 | samples=  3,203,072 | speed= 1,442 sps | loss=0.082000 | lr=9.02e-04
2026-07-03 16:03:04 | sweep_bottleneck128 | epoch=  0.07 | samples=  3,303,168 | speed= 1,441 sps | loss=0.081207 | lr=9.29e-04
2026-07-03 16:04:13 | sweep_bottleneck128 | epoch=  0.07 | samples=  3,403,264 | speed= 1,442 sps | loss=0.080516 | lr=9.48e-04
2026-07-03 16:05:25 | sweep_bottleneck128 | epoch=  0.07 | samples=  3,503,360 | speed= 1,403 sps | loss=0.079718 | lr=9.76e-04
2026-07-03 16:06:34 | sweep_bottleneck128 | epoch=  0.07 | samples=  3,603,456 | speed= 1,449 sps | loss=0.079190 | lr=1.02e-03
2026-07-03 16:07:46 | sweep_bottleneck128 | epoch=  0.07 | samples=  3,703,552 | speed= 1,386 sps | loss=0.078530 | lr=1.05e-03
2026-07-03 16:08:55 | sweep_bottleneck128 | epoch=  0.08 | samples=  3,803,648 | speed= 1,446 sps | loss=0.077943 | lr=1.06e-03
2026-07-03 16:10:04 | sweep_bottleneck128 | epoch=  0.08 | samples=  3,903,744 | speed= 1,442 sps | loss=0.077446 | lr=1.14e-03
2026-07-03 16:11:06 | sweep_bottleneck128 | epoch=  0.08 | samples=  4,000,000 | speed= 1,562 sps | loss=0.077159 | lr=1.18e-03
