2026-07-04 10:53:48 | sweep_n4 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.343137 | lr=2.80e-05
2026-07-04 10:54:57 | sweep_n4 | epoch=  0.00 | samples=    200,192 | speed= 1,453 sps | loss=0.151894 | lr=4.60e-05
2026-07-04 10:56:06 | sweep_n4 | epoch=  0.01 | samples=    300,288 | speed= 1,456 sps | loss=0.137435 | lr=6.40e-05
2026-07-04 10:57:15 | sweep_n4 | epoch=  0.01 | samples=    400,384 | speed= 1,435 sps | loss=0.131587 | lr=8.21e-05
2026-07-04 10:58:24 | sweep_n4 | epoch=  0.01 | samples=    500,480 | speed= 1,457 sps | loss=0.126740 | lr=1.02e-04
2026-07-04 10:59:33 | sweep_n4 | epoch=  0.01 | samples=    600,576 | speed= 1,452 sps | loss=0.120823 | lr=1.26e-04
2026-07-04 11:00:42 | sweep_n4 | epoch=  0.01 | samples=    700,672 | speed= 1,456 sps | loss=0.114545 | lr=1.58e-04
2026-07-04 11:01:50 | sweep_n4 | epoch=  0.02 | samples=    800,768 | speed= 1,455 sps | loss=0.110110 | lr=1.95e-04
2026-07-04 11:03:00 | sweep_n4 | epoch=  0.02 | samples=    900,864 | speed= 1,438 sps | loss=0.106299 | lr=2.22e-04
2026-07-04 11:04:09 | sweep_n4 | epoch=  0.02 | samples=  1,000,960 | speed= 1,444 sps | loss=0.102006 | lr=2.52e-04
2026-07-04 11:05:21 | sweep_n4 | epoch=  0.02 | samples=  1,101,056 | speed= 1,408 sps | loss=0.098306 | lr=2.90e-04
2026-07-04 11:06:29 | sweep_n4 | epoch=  0.02 | samples=  1,201,152 | speed= 1,454 sps | loss=0.095471 | lr=3.17e-04
2026-07-04 11:07:39 | sweep_n4 | epoch=  0.03 | samples=  1,301,248 | speed= 1,447 sps | loss=0.093457 | lr=3.43e-04
2026-07-04 11:08:48 | sweep_n4 | epoch=  0.03 | samples=  1,401,344 | speed= 1,439 sps | loss=0.092029 | lr=3.72e-04
2026-07-04 11:09:58 | sweep_n4 | epoch=  0.03 | samples=  1,501,440 | speed= 1,433 sps | loss=0.090660 | lr=3.95e-04
2026-07-04 11:11:08 | sweep_n4 | epoch=  0.03 | samples=  1,601,536 | speed= 1,436 sps | loss=0.089430 | lr=4.11e-04
2026-07-04 11:12:17 | sweep_n4 | epoch=  0.03 | samples=  1,701,632 | speed= 1,437 sps | loss=0.088332 | lr=4.40e-04
2026-07-04 11:13:29 | sweep_n4 | epoch=  0.04 | samples=  1,801,728 | speed= 1,388 sps | loss=0.087217 | lr=4.63e-04
2026-07-04 11:14:38 | sweep_n4 | epoch=  0.04 | samples=  1,901,824 | speed= 1,454 sps | loss=0.086138 | lr=4.77e-04
2026-07-04 11:15:48 | sweep_n4 | epoch=  0.04 | samples=  2,001,920 | speed= 1,433 sps | loss=0.084908 | lr=4.96e-04
2026-07-04 11:16:58 | sweep_n4 | epoch=  0.04 | samples=  2,102,016 | speed= 1,430 sps | loss=0.083881 | lr=5.16e-04
2026-07-04 11:18:08 | sweep_n4 | epoch=  0.04 | samples=  2,202,112 | speed= 1,437 sps | loss=0.082808 | lr=5.43e-04
2026-07-04 11:19:47 | sweep_n4 | epoch=  0.05 | samples=  2,302,208 | speed= 1,006 sps | loss=0.081777 | lr=5.76e-04
2026-07-04 11:20:56 | sweep_n4 | epoch=  0.05 | samples=  2,402,304 | speed= 1,467 sps | loss=0.080798 | lr=6.18e-04
2026-07-04 11:22:04 | sweep_n4 | epoch=  0.05 | samples=  2,502,400 | speed= 1,458 sps | loss=0.079786 | lr=6.49e-04
2026-07-04 11:23:13 | sweep_n4 | epoch=  0.05 | samples=  2,602,496 | speed= 1,455 sps | loss=0.078715 | lr=6.69e-04
2026-07-04 11:24:22 | sweep_n4 | epoch=  0.05 | samples=  2,702,592 | speed= 1,455 sps | loss=0.077642 | lr=7.10e-04
2026-07-04 11:25:34 | sweep_n4 | epoch=  0.06 | samples=  2,802,688 | speed= 1,385 sps | loss=0.076632 | lr=7.61e-04
2026-07-04 11:26:43 | sweep_n4 | epoch=  0.06 | samples=  2,902,784 | speed= 1,455 sps | loss=0.075560 | lr=8.33e-04
2026-07-04 11:27:52 | sweep_n4 | epoch=  0.06 | samples=  3,002,880 | speed= 1,440 sps | loss=0.074354 | lr=8.93e-04
2026-07-04 11:29:02 | sweep_n4 | epoch=  0.06 | samples=  3,102,976 | speed= 1,432 sps | loss=0.073023 | lr=9.20e-04
2026-07-04 11:30:12 | sweep_n4 | epoch=  0.06 | samples=  3,203,072 | speed= 1,439 sps | loss=0.071572 | lr=9.76e-04
2026-07-04 11:31:53 | sweep_n4 | epoch=  0.07 | samples=  3,303,168 | speed=   989 sps | loss=0.070182 | lr=1.03e-03
2026-07-04 11:33:01 | sweep_n4 | epoch=  0.07 | samples=  3,403,264 | speed= 1,469 sps | loss=0.068835 | lr=1.06e-03
2026-07-04 11:34:10 | sweep_n4 | epoch=  0.07 | samples=  3,503,360 | speed= 1,462 sps | loss=0.067656 | lr=1.12e-03
2026-07-04 11:35:18 | sweep_n4 | epoch=  0.07 | samples=  3,603,456 | speed= 1,459 sps | loss=0.066635 | lr=1.17e-03
2026-07-04 11:36:27 | sweep_n4 | epoch=  0.07 | samples=  3,703,552 | speed= 1,457 sps | loss=0.065445 | lr=1.18e-03
2026-07-04 11:37:36 | sweep_n4 | epoch=  0.08 | samples=  3,803,648 | speed= 1,451 sps | loss=0.064359 | lr=1.22e-03
2026-07-04 11:38:45 | sweep_n4 | epoch=  0.08 | samples=  3,903,744 | speed= 1,448 sps | loss=0.063585 | lr=1.29e-03
2026-07-04 11:39:46 | sweep_n4 | epoch=  0.08 | samples=  4,000,000 | speed= 1,564 sps | loss=0.062846 | lr=1.33e-03
