2026-07-03 14:37:24 | sweep_bottleneck96 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.297365 | lr=2.80e-05
2026-07-03 14:38:33 | sweep_bottleneck96 | epoch=  0.00 | samples=    200,192 | speed= 1,443 sps | loss=0.180773 | lr=4.60e-05
2026-07-03 14:39:44 | sweep_bottleneck96 | epoch=  0.01 | samples=    300,288 | speed= 1,405 sps | loss=0.174256 | lr=6.40e-05
2026-07-03 14:40:54 | sweep_bottleneck96 | epoch=  0.01 | samples=    400,384 | speed= 1,432 sps | loss=0.170754 | lr=8.20e-05
2026-07-03 14:42:33 | sweep_bottleneck96 | epoch=  0.01 | samples=    500,480 | speed= 1,007 sps | loss=0.165920 | lr=1.01e-04
2026-07-03 14:43:42 | sweep_bottleneck96 | epoch=  0.01 | samples=    600,576 | speed= 1,468 sps | loss=0.159462 | lr=1.28e-04
2026-07-03 14:44:50 | sweep_bottleneck96 | epoch=  0.01 | samples=    700,672 | speed= 1,458 sps | loss=0.151809 | lr=1.55e-04
2026-07-03 14:46:00 | sweep_bottleneck96 | epoch=  0.02 | samples=    800,768 | speed= 1,441 sps | loss=0.145583 | lr=1.80e-04
2026-07-03 14:47:10 | sweep_bottleneck96 | epoch=  0.02 | samples=    900,864 | speed= 1,432 sps | loss=0.140747 | lr=2.07e-04
2026-07-03 14:48:21 | sweep_bottleneck96 | epoch=  0.02 | samples=  1,000,960 | speed= 1,401 sps | loss=0.136836 | lr=2.38e-04
2026-07-03 14:49:31 | sweep_bottleneck96 | epoch=  0.02 | samples=  1,101,056 | speed= 1,430 sps | loss=0.133628 | lr=2.68e-04
2026-07-03 14:50:41 | sweep_bottleneck96 | epoch=  0.02 | samples=  1,201,152 | speed= 1,428 sps | loss=0.130619 | lr=2.99e-04
2026-07-03 14:51:51 | sweep_bottleneck96 | epoch=  0.03 | samples=  1,301,248 | speed= 1,429 sps | loss=0.127955 | lr=3.33e-04
2026-07-03 14:53:01 | sweep_bottleneck96 | epoch=  0.03 | samples=  1,401,344 | speed= 1,436 sps | loss=0.125567 | lr=3.68e-04
2026-07-03 14:54:11 | sweep_bottleneck96 | epoch=  0.03 | samples=  1,501,440 | speed= 1,426 sps | loss=0.123316 | lr=4.11e-04
2026-07-03 14:55:21 | sweep_bottleneck96 | epoch=  0.03 | samples=  1,601,536 | speed= 1,427 sps | loss=0.121454 | lr=4.54e-04
2026-07-03 14:56:34 | sweep_bottleneck96 | epoch=  0.03 | samples=  1,701,632 | speed= 1,384 sps | loss=0.119827 | lr=4.96e-04
2026-07-03 14:57:43 | sweep_bottleneck96 | epoch=  0.04 | samples=  1,801,728 | speed= 1,437 sps | loss=0.118235 | lr=5.16e-04
2026-07-03 14:58:54 | sweep_bottleneck96 | epoch=  0.04 | samples=  1,901,824 | speed= 1,424 sps | loss=0.116759 | lr=5.54e-04
2026-07-03 15:00:04 | sweep_bottleneck96 | epoch=  0.04 | samples=  2,001,920 | speed= 1,425 sps | loss=0.115406 | lr=5.88e-04
2026-07-03 15:01:14 | sweep_bottleneck96 | epoch=  0.04 | samples=  2,102,016 | speed= 1,426 sps | loss=0.114286 | lr=6.12e-04
2026-07-03 15:02:24 | sweep_bottleneck96 | epoch=  0.04 | samples=  2,202,112 | speed= 1,432 sps | loss=0.113268 | lr=6.49e-04
2026-07-03 15:03:34 | sweep_bottleneck96 | epoch=  0.05 | samples=  2,302,208 | speed= 1,428 sps | loss=0.112436 | lr=6.82e-04
2026-07-03 15:04:44 | sweep_bottleneck96 | epoch=  0.05 | samples=  2,402,304 | speed= 1,430 sps | loss=0.111547 | lr=6.96e-04
2026-07-03 15:05:54 | sweep_bottleneck96 | epoch=  0.05 | samples=  2,502,400 | speed= 1,426 sps | loss=0.110738 | lr=7.17e-04
2026-07-03 15:07:04 | sweep_bottleneck96 | epoch=  0.05 | samples=  2,602,496 | speed= 1,428 sps | loss=0.109839 | lr=7.24e-04
2026-07-03 15:08:16 | sweep_bottleneck96 | epoch=  0.05 | samples=  2,702,592 | speed= 1,393 sps | loss=0.109067 | lr=7.39e-04
2026-07-03 15:09:26 | sweep_bottleneck96 | epoch=  0.06 | samples=  2,802,688 | speed= 1,432 sps | loss=0.108276 | lr=7.54e-04
2026-07-03 15:10:36 | sweep_bottleneck96 | epoch=  0.06 | samples=  2,902,784 | speed= 1,430 sps | loss=0.107633 | lr=7.69e-04
2026-07-03 15:11:46 | sweep_bottleneck96 | epoch=  0.06 | samples=  3,002,880 | speed= 1,432 sps | loss=0.107097 | lr=7.77e-04
2026-07-03 15:12:51 | sweep_bottleneck96 | epoch=  0.06 | samples=  3,102,976 | speed= 1,549 sps | loss=0.106579 | lr=8.00e-04
2026-07-03 15:14:01 | sweep_bottleneck96 | epoch=  0.06 | samples=  3,203,072 | speed= 1,416 sps | loss=0.106091 | lr=8.16e-04
2026-07-03 15:15:11 | sweep_bottleneck96 | epoch=  0.07 | samples=  3,303,168 | speed= 1,429 sps | loss=0.105664 | lr=8.41e-04
