epoch,total_samples,speed_sps,train_loss,val_loss,lr
0.002,100096,0.0,0.28019779512796866,,2.7981557377049184e-05
0.004,200192,1486.1,0.14585268520333272,,4.600922131147541e-05
0.006,300288,1482.9,0.1366239237358503,,6.403688524590163e-05
0.008,400384,1477.4,0.13341886803622136,,8.206454918032786e-05
0.01,500480,1477.7,0.1302925020532535,,0.00010201000000000001
0.012,600576,1425.9,0.12614177064517576,,0.00012201900399479672
0.014,700672,1474.5,0.12074207358271874,,0.00013886900853164082
0.016,800768,1470.0,0.11584460891573631,,0.00015493175715154746
0.018,900864,1469.1,0.11162461372821228,,0.00017809005965729736
0.02,1000960,1468.6,0.10766599336853418,,0.00020675703052211333
0.022,1101056,1463.1,0.10375429920452026,,0.0002306722744040366
0.024,1201152,1465.5,0.10021739062445853,,0.0002522828693323005
0.026,1301248,1465.6,0.09743835904714092,,0.00028999265273907594
0.028,1401344,1470.1,0.09511788843004294,,0.0003171606934873975
0.03,1501440,1466.6,0.09289600077035177,,0.00035034271933694067
0.032,1601536,1424.9,0.09115330629107897,,0.00038316467253100253
0.034,1701632,1465.1,0.08942374072568801,,0.00041080439109899365
0.036,1801728,1022.1,0.08784080332959704,,0.00043607713910695587
0.038,1901824,1472.1,0.0865086895196944,,0.0004537836196240261
0.04,2001920,1471.6,0.08499851247386249,,0.0004722090542530763
0.042,2102016,1469.0,0.08376762143257634,,0.0005164480882647998
0.044,2202112,1466.6,0.08275498179218653,,0.0005482200524324489
0.046,2302208,1412.2,0.08167106099903126,,0.0005819466326205812
0.048,2402304,1465.7,0.08045035129998956,,0.0006177480771011443
0.05,2502400,1463.1,0.07932991547810148,,0.0006557520318378849
0.052,2602496,1466.0,0.07821896946643625,,0.0006756219741546047
0.054,2702592,1465.8,0.07692194949178134,,0.0006960939955934633
0.056,2802688,1462.4,0.07578640770348137,,0.0007243582031514804
0.058,2902784,1598.9,0.07484615864732382,,0.0007766100371874136
0.06,3002880,1459.5,0.0740831697078617,,0.0007922198989348806
0.062,3102976,1461.8,0.0731491693069258,,0.0008243872036334315
0.064,3203072,1597.6,0.07237107607790881,,0.0008664392361925717
0.066,3303168,1594.4,0.07154087943341726,,0.0008838546648400424
0.068,3403264,1459.1,0.07062814041705387,,0.0009106363450393605
0.07,3503360,1460.2,0.0699528123602233,,0.0009289401355746517
0.072,3603456,1418.7,0.06905270423120854,,0.0009476118322997021
0.074,3703552,1464.9,0.06818069990181252,,0.0009763254184302155
0.076,3803648,1597.7,0.0676739055787206,,0.0010261278269382446
0.078,3903744,1460.5,0.06710503221777699,,0.0010467529962597034
0.0799,4000000,1587.9,0.06641607854436053,,0.0010784706587993688
