total_samples,speed_sps,train_loss,val_loss,lr
100096,0.0,0.26800584240490216,0.17454654928039173,0.00018986175115207375
200192,1476.5,0.23422453363838097,0.16777808617679948,0.0002799539170506913
300288,1442.1,0.23048360897299577,0.16549815868776035,0.00037004608294930873
400384,1421.4,0.22877740299762667,0.16398415870538785,0.00046013824884792633
500480,1429.0,0.22723232209682465,0.16179625207434736,0.0005502304147465439
600576,1431.7,0.22544854380133206,0.1590201848382862,0.0006403225806451612
700672,1325.5,0.2235774974460187,0.156135504207404,0.0007304147465437788
800768,1438.3,0.2219175512680922,0.1534586987878392,0.0008205069124423963
900864,1425.8,0.22015228318741253,0.15028895325772104,0.0009105990783410139
1000960,1429.6,0.21844591962559448,0.14728960515399814,0.0010303010000000002
1101056,1426.9,0.21698355457514448,0.14477292438304118,0.0011046221254112048
1201152,1423.7,0.2151099403038659,0.1418744758724098,0.0011494742132376226
1301248,1426.4,0.21332860103501078,0.13956900965606414,0.0012201900399479674
1401344,1416.2,0.21204279675660537,0.13777615453411385,0.001269734648531915
1501440,1436.3,0.21086398883701285,0.13592748124366336,0.0013212909668982515
1601536,932.9,0.2098381295609657,0.13467002006520998,0.001374940678531098
1701632,1465.6,0.2087282617302502,0.13267804746911846,0.001374940678531098
1801728,1475.9,0.20617497241710458,0.12881831580367514,0.001150483345184759
1901824,1447.5,0.20536753264686947,0.12803157578631152,0.0011736080604229724
2001920,1425.0,0.20491178833005375,0.1273102583941558,0.0011853441410272021
2102016,1430.1,0.20428167908545344,0.12635158238758468,0.001209169558261849
2202112,1427.6,0.2037969932455541,0.12578831425873607,0.0012334738663829121
2302208,1424.4,0.20302306043217555,0.12320806872476382,0.0009626683886911969
2402304,1415.0,0.20105650933349833,0.1224599533972525,0.000991838203536929
2502400,1307.6,0.20065408666877796,0.12177377555936386,0.0010017565855722982
2602496,1448.4,0.20009648437847566,0.12020475868963756,0.0007740831089037934
2702592,1434.3,0.19859637674468253,0.11949532675368485,0.0007818239399928314
