Loaded 20 text files — 50,102,558 characters total
Sweep: noise_sweep_n4  (grid over noise_prob)
  seq_len=128  target=8M samples  budget=384.0M
  workspace: sessions/noise_sweep  |  log: sessions/noise_sweep_summary.csv

    vary    n        b      params
   0.025    4    2.777  384,025,902
    0.05    4    2.777  384,025,902
     0.1    4    2.777  384,025,902
    0.15    4    2.777  384,025,902

──────────────────────────────────────────────────
[noise_prob=0.025]
  arch: 2688→8584→7837→7091→6344→160→6344→7091→7837→8584→2688
  params: 384,025,902  batch: 256
  Loaded uint8 cache: 131.5 MB
  noise: prob=0.025, std=3.0
  training 8,000,000 samples...

[K
[Ksamples=     25,088 | loss=0.465678 | speed=0 sps | lr=1.45e-05
[Ksamples=     50,176 | loss=0.335723 | speed=1780 sps | lr=1.90e-05
[Ksamples=     75,264 | loss=0.276983 | speed=1777 sps | lr=2.35e-052026-07-04 20:43:27 | sweep_noise_prob0.025 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.245656 | lr=2.80e-05

[Ksamples=    125,184 | loss=0.145849 | speed=1260 sps | lr=3.25e-05
[Ksamples=    150,272 | loss=0.143795 | speed=1771 sps | lr=3.70e-05
[Ksamples=    175,360 | loss=0.142120 | speed=1769 sps | lr=4.15e-052026-07-04 20:44:37 | sweep_noise_prob0.025 | epoch=  0.00 | samples=    200,192 | speed= 1,429 sps | loss=0.140787 | lr=4.60e-05

[Ksamples=    225,280 | loss=0.135132 | speed=1196 sps | lr=5.05e-05
[Ksamples=    250,368 | loss=0.134357 | speed=1768 sps | lr=5.50e-05
[Ksamples=    275,456 | loss=0.133707 | speed=1767 sps | lr=5.96e-052026-07-04 20:45:47 | sweep_noise_prob0.025 | epoch=  0.01 | samples=    300,288 | speed= 1,429 sps | loss=0.133104 | lr=6.40e-05

[Ksamples=    325,376 | loss=0.130459 | speed=1197 sps | lr=6.86e-05
[Ksamples=    350,464 | loss=0.129808 | speed=1767 sps | lr=7.31e-05
[Ksamples=    375,552 | loss=0.129194 | speed=1766 sps | lr=7.76e-052026-07-04 20:46:57 | sweep_noise_prob0.025 | epoch=  0.01 | samples=    400,384 | speed= 1,426 sps | loss=0.128616 | lr=8.21e-05

[Ksamples=    425,472 | loss=0.125585 | speed=1194 sps | lr=8.66e-05
[Ksamples=    450,560 | loss=0.124862 | speed=1765 sps | lr=9.11e-05
[Ksamples=    475,648 | loss=0.124136 | speed=1764 sps | lr=9.56e-052026-07-04 20:48:07 | sweep_noise_prob0.025 | epoch=  0.01 | samples=    500,480 | speed= 1,423 sps | loss=0.123372 | lr=1.02e-04

[Ksamples=    525,568 | loss=0.119604 | speed=1191 sps | lr=1.10e-04
[Ksamples=    550,656 | loss=0.118976 | speed=1765 sps | lr=1.15e-04
[Ksamples=    575,744 | loss=0.118313 | speed=1764 sps | lr=1.17e-042026-07-04 20:49:20 | sweep_noise_prob0.025 | epoch=  0.01 | samples=    600,576 | speed= 1,376 sps | loss=0.117632 | lr=1.22e-04

[Ksamples=    625,664 | loss=0.114459 | speed=1127 sps | lr=1.27e-04
[Ksamples=    650,752 | loss=0.113857 | speed=1765 sps | lr=1.33e-04
[Ksamples=    675,840 | loss=0.113303 | speed=1764 sps | lr=1.42e-042026-07-04 20:50:30 | sweep_noise_prob0.025 | epoch=  0.01 | samples=    700,672 | speed= 1,426 sps | loss=0.112787 | lr=1.52e-04

[Ksamples=    725,760 | loss=0.110302 | speed=1195 sps | lr=1.55e-04
[Ksamples=    750,848 | loss=0.109808 | speed=1764 sps | lr=1.60e-04
[Ksamples=    775,936 | loss=0.109237 | speed=1763 sps | lr=1.66e-042026-07-04 20:52:10 | sweep_noise_prob0.025 | epoch=  0.02 | samples=    800,768 | speed= 1,002 sps | loss=0.108728 | lr=1.73e-04

[Ksamples=    825,856 | loss=0.106169 | speed=700 sps | lr=1.76e-04
[Ksamples=    850,944 | loss=0.105586 | speed=1778 sps | lr=1.83e-04
[Ksamples=    876,032 | loss=0.105098 | speed=1774 sps | lr=1.91e-042026-07-04 20:53:20 | sweep_noise_prob0.025 | epoch=  0.02 | samples=    900,864 | speed= 1,428 sps | loss=0.104582 | lr=1.97e-04

[Ksamples=    925,952 | loss=0.102139 | speed=1190 sps | lr=1.99e-04
[Ksamples=    951,040 | loss=0.101564 | speed=1770 sps | lr=2.09e-04
[Ksamples=    976,128 | loss=0.101088 | speed=1769 sps | lr=2.15e-042026-07-04 20:54:30 | sweep_noise_prob0.025 | epoch=  0.02 | samples=  1,000,960 | speed= 1,423 sps | loss=0.100655 | lr=2.24e-04

[Ksamples=  1,026,048 | loss=0.098532 | speed=1188 sps | lr=2.33e-04
[Ksamples=  1,051,136 | loss=0.098199 | speed=1767 sps | lr=2.38e-04
[Ksamples=  1,076,224 | loss=0.097811 | speed=1766 sps | lr=2.45e-042026-07-04 20:55:41 | sweep_noise_prob0.025 | epoch=  0.02 | samples=  1,101,056 | speed= 1,417 sps | loss=0.097493 | lr=2.57e-04
