experiment,model_name,sweep_type,vary_param,vary_value,seq_len,n_hidden,b,hidden_dim,bottleneck,params,batch_size,total_samples,total_symbols,final_train_loss,final_val_loss,final_epoch,train_loss_ema,speed_avg_sps,status,duration_seconds
noise_sweep,sweep_noise_prob0.025,grid,noise_prob,,128,4,2.7766,7464,160,384025902,256,8000000,1024000000,0.03867342724488052,,0.1598,0.038668684554467606,1364.6,done,5862.7
noise_sweep,sweep_noise_prob0.05,grid,noise_prob,,128,4,2.7766,7464,160,384025902,256,8000000,1024000000,0.03977541250906823,,0.1598,0.03953089583880837,1394.4,done,5737.2
noise_sweep,sweep_noise_prob0.1,grid,noise_prob,,128,4,2.7766,7464,160,384025902,256,8000000,1024000000,0.041295105059969126,,0.1598,0.04113078012382856,1406.6,done,5687.4
noise_sweep,sweep_noise_prob0.15,grid,noise_prob,,128,4,2.7766,7464,160,384025902,256,8000000,1024000000,0.04059403476374961,,0.1598,0.04070398908212964,1405.1,done,5693.4
noise_sweep,sweep_noise_prob0.2,grid,noise_prob,,128,4,2.7766,7464,160,384025902,256,8000000,1024000000,0.07718676235784784,,0.1598,0.07716497373212437,1468.9,done,5446.4
noise_sweep,sweep_noise_prob0.25,grid,noise_prob,,128,4,2.7766,7464,160,384025902,256,8000000,1024000000,0.04225849592413268,,0.1598,0.042179435664583306,1368.2,done,5846.9
