experiment,model_name,sweep_type,vary_param,vary_value,seq_len,n_hidden,b,hidden_dim,bottleneck,params,batch_size,total_samples,total_symbols,final_train_loss,final_val_loss,final_epoch,train_loss_ema,speed_avg_sps,status,duration_seconds
bottleneck_sweep,sweep_bottleneck64,grid,bottleneck,,128,6,2.20443,5925,64,383889006,256,4000000,512000000,0.1546430173230932,,0.0799,0.15462703696357608,1393.3,done,2870.9
bottleneck_sweep,sweep_bottleneck96,grid,bottleneck,,128,6,2.20331,5922,96,383896080,256,4000000,512000000,0.10103121538587073,,0.0799,0.10097003588185785,1410.0,done,2836.8
bottleneck_sweep,sweep_bottleneck128,grid,bottleneck,,128,6,2.2022,5920,128,384027008,256,4000000,512000000,0.0771592430017413,,0.0799,0.07692693282496699,1412.7,done,2831.5
bottleneck_sweep,sweep_bottleneck160,grid,bottleneck,,128,6,2.20108,5917,160,384033678,256,4000000,512000000,0.06448766667435461,,0.0799,0.06445917481604986,1353.5,done,2955.4
bottleneck_sweep,sweep_bottleneck192,grid,bottleneck,,128,6,2.19996,5914,192,384040144,256,4000000,512000000,0.05748495094953699,,0.0799,0.05710714697891267,1406.2,done,2844.5
bottleneck_sweep,sweep_bottleneck224,grid,bottleneck,,128,6,2.19885,5911,224,384046406,256,4000000,512000000,0.052094436825272886,,0.0799,0.051819821968854186,1328.3,done,3011.3
