2026-07-05 01:33:19 | sweep_noise_prob0.15 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.248950 | lr=2.80e-05
2026-07-05 01:34:31 | sweep_noise_prob0.15 | epoch=  0.00 | samples=    200,192 | speed= 1,386 sps | loss=0.142233 | lr=4.60e-05
2026-07-05 01:35:41 | sweep_noise_prob0.15 | epoch=  0.01 | samples=    300,288 | speed= 1,432 sps | loss=0.134309 | lr=6.40e-05
2026-07-05 01:36:51 | sweep_noise_prob0.15 | epoch=  0.01 | samples=    400,384 | speed= 1,430 sps | loss=0.130119 | lr=8.21e-05
2026-07-05 01:38:01 | sweep_noise_prob0.15 | epoch=  0.01 | samples=    500,480 | speed= 1,431 sps | loss=0.125532 | lr=1.01e-04
2026-07-05 01:39:11 | sweep_noise_prob0.15 | epoch=  0.01 | samples=    600,576 | speed= 1,429 sps | loss=0.120254 | lr=1.27e-04
2026-07-05 01:40:21 | sweep_noise_prob0.15 | epoch=  0.01 | samples=    700,672 | speed= 1,424 sps | loss=0.115437 | lr=1.53e-04
2026-07-05 01:41:31 | sweep_noise_prob0.15 | epoch=  0.02 | samples=    800,768 | speed= 1,427 sps | loss=0.110835 | lr=1.73e-04
2026-07-05 01:42:41 | sweep_noise_prob0.15 | epoch=  0.02 | samples=    900,864 | speed= 1,430 sps | loss=0.106222 | lr=2.01e-04
2026-07-05 01:43:51 | sweep_noise_prob0.15 | epoch=  0.02 | samples=  1,000,960 | speed= 1,431 sps | loss=0.102299 | lr=2.28e-04
2026-07-05 01:45:01 | sweep_noise_prob0.15 | epoch=  0.02 | samples=  1,101,056 | speed= 1,426 sps | loss=0.098760 | lr=2.60e-04
2026-07-05 01:46:14 | sweep_noise_prob0.15 | epoch=  0.02 | samples=  1,201,152 | speed= 1,388 sps | loss=0.095757 | lr=2.87e-04
2026-07-05 01:47:24 | sweep_noise_prob0.15 | epoch=  0.03 | samples=  1,301,248 | speed= 1,426 sps | loss=0.093400 | lr=3.17e-04
2026-07-05 01:48:34 | sweep_noise_prob0.15 | epoch=  0.03 | samples=  1,401,344 | speed= 1,426 sps | loss=0.091489 | lr=3.47e-04
2026-07-05 01:49:44 | sweep_noise_prob0.15 | epoch=  0.03 | samples=  1,501,440 | speed= 1,425 sps | loss=0.089888 | lr=3.76e-04
2026-07-05 01:50:54 | sweep_noise_prob0.15 | epoch=  0.03 | samples=  1,601,536 | speed= 1,425 sps | loss=0.088618 | lr=4.11e-04
2026-07-05 01:52:05 | sweep_noise_prob0.15 | epoch=  0.03 | samples=  1,701,632 | speed= 1,425 sps | loss=0.087429 | lr=4.40e-04
2026-07-05 01:53:15 | sweep_noise_prob0.15 | epoch=  0.04 | samples=  1,801,728 | speed= 1,425 sps | loss=0.086349 | lr=4.72e-04
2026-07-05 01:54:20 | sweep_noise_prob0.15 | epoch=  0.04 | samples=  1,901,824 | speed= 1,550 sps | loss=0.085152 | lr=5.01e-04
2026-07-05 01:55:24 | sweep_noise_prob0.15 | epoch=  0.04 | samples=  2,001,920 | speed= 1,548 sps | loss=0.083859 | lr=5.16e-04
2026-07-05 01:57:04 | sweep_noise_prob0.15 | epoch=  0.04 | samples=  2,102,016 | speed= 1,002 sps | loss=0.082430 | lr=5.48e-04
2026-07-05 01:58:14 | sweep_noise_prob0.15 | epoch=  0.04 | samples=  2,202,112 | speed= 1,437 sps | loss=0.080815 | lr=5.94e-04
2026-07-05 01:59:24 | sweep_noise_prob0.15 | epoch=  0.05 | samples=  2,302,208 | speed= 1,430 sps | loss=0.079430 | lr=6.24e-04
2026-07-05 02:00:34 | sweep_noise_prob0.15 | epoch=  0.05 | samples=  2,402,304 | speed= 1,427 sps | loss=0.078165 | lr=6.62e-04
2026-07-05 02:01:44 | sweep_noise_prob0.15 | epoch=  0.05 | samples=  2,502,400 | speed= 1,428 sps | loss=0.077026 | lr=7.03e-04
2026-07-05 02:02:54 | sweep_noise_prob0.15 | epoch=  0.05 | samples=  2,602,496 | speed= 1,424 sps | loss=0.075991 | lr=7.39e-04
2026-07-05 02:04:05 | sweep_noise_prob0.15 | epoch=  0.05 | samples=  2,702,592 | speed= 1,425 sps | loss=0.075108 | lr=7.92e-04
2026-07-05 02:05:15 | sweep_noise_prob0.15 | epoch=  0.06 | samples=  2,802,688 | speed= 1,426 sps | loss=0.074335 | lr=8.24e-04
2026-07-05 02:06:25 | sweep_noise_prob0.15 | epoch=  0.06 | samples=  2,902,784 | speed= 1,430 sps | loss=0.073586 | lr=8.84e-04
2026-07-05 02:07:35 | sweep_noise_prob0.15 | epoch=  0.06 | samples=  3,002,880 | speed= 1,426 sps | loss=0.073032 | lr=9.20e-04
2026-07-05 02:08:47 | sweep_noise_prob0.15 | epoch=  0.06 | samples=  3,102,976 | speed= 1,384 sps | loss=0.072275 | lr=9.57e-04
2026-07-05 02:09:52 | sweep_noise_prob0.15 | epoch=  0.06 | samples=  3,203,072 | speed= 1,552 sps | loss=0.071566 | lr=9.86e-04
2026-07-05 02:11:02 | sweep_noise_prob0.15 | epoch=  0.07 | samples=  3,303,168 | speed= 1,422 sps | loss=0.070870 | lr=1.03e-03
2026-07-05 02:12:12 | sweep_noise_prob0.15 | epoch=  0.07 | samples=  3,403,264 | speed= 1,425 sps | loss=0.069988 | lr=1.05e-03
2026-07-05 02:13:23 | sweep_noise_prob0.15 | epoch=  0.07 | samples=  3,503,360 | speed= 1,425 sps | loss=0.069246 | lr=1.10e-03
2026-07-05 02:14:33 | sweep_noise_prob0.15 | epoch=  0.07 | samples=  3,603,456 | speed= 1,425 sps | loss=0.068508 | lr=1.13e-03
2026-07-05 02:15:43 | sweep_noise_prob0.15 | epoch=  0.07 | samples=  3,703,552 | speed= 1,428 sps | loss=0.067798 | lr=1.18e-03
2026-07-05 02:16:53 | sweep_noise_prob0.15 | epoch=  0.08 | samples=  3,803,648 | speed= 1,425 sps | loss=0.067082 | lr=1.20e-03
2026-07-05 02:18:04 | sweep_noise_prob0.15 | epoch=  0.08 | samples=  3,903,744 | speed= 1,425 sps | loss=0.066341 | lr=1.23e-03
2026-07-05 02:19:14 | sweep_noise_prob0.15 | epoch=  0.08 | samples=  4,003,840 | speed= 1,425 sps | loss=0.065545 | lr=1.25e-03
2026-07-05 02:20:24 | sweep_noise_prob0.15 | epoch=  0.08 | samples=  4,103,936 | speed= 1,430 sps | loss=0.064771 | lr=1.30e-03
2026-07-05 02:22:03 | sweep_noise_prob0.15 | epoch=  0.08 | samples=  4,204,032 | speed= 1,007 sps | loss=0.064202 | lr=1.33e-03
2026-07-05 02:23:13 | sweep_noise_prob0.15 | epoch=  0.09 | samples=  4,304,128 | speed= 1,441 sps | loss=0.063598 | lr=1.36e-03
2026-07-05 02:24:17 | sweep_noise_prob0.15 | epoch=  0.09 | samples=  4,404,224 | speed= 1,560 sps | loss=0.062944 | lr=1.41e-03
2026-07-05 02:25:27 | sweep_noise_prob0.15 | epoch=  0.09 | samples=  4,504,320 | speed= 1,429 sps | loss=0.062397 | lr=1.44e-03
2026-07-05 02:26:31 | sweep_noise_prob0.15 | epoch=  0.09 | samples=  4,604,416 | speed= 1,555 sps | loss=0.061805 | lr=1.51e-03
2026-07-05 02:27:41 | sweep_noise_prob0.15 | epoch=  0.09 | samples=  4,704,512 | speed= 1,425 sps | loss=0.061577 | lr=1.53e-03
2026-07-05 02:28:52 | sweep_noise_prob0.15 | epoch=  0.10 | samples=  4,804,608 | speed= 1,427 sps | loss=0.060394 | lr=1.22e-03
2026-07-05 02:30:02 | sweep_noise_prob0.15 | epoch=  0.10 | samples=  4,904,704 | speed= 1,428 sps | loss=0.058111 | lr=1.24e-03
2026-07-05 02:31:12 | sweep_noise_prob0.15 | epoch=  0.10 | samples=  5,004,800 | speed= 1,426 sps | loss=0.057391 | lr=1.25e-03
2026-07-05 02:32:24 | sweep_noise_prob0.15 | epoch=  0.10 | samples=  5,104,896 | speed= 1,383 sps | loss=0.057101 | lr=1.28e-03
2026-07-05 02:33:34 | sweep_noise_prob0.15 | epoch=  0.10 | samples=  5,204,992 | speed= 1,430 sps | loss=0.056083 | lr=1.03e-03
2026-07-05 02:35:14 | sweep_noise_prob0.15 | epoch=  0.11 | samples=  5,305,088 | speed= 1,008 sps | loss=0.054449 | lr=1.05e-03
2026-07-05 02:36:23 | sweep_noise_prob0.15 | epoch=  0.11 | samples=  5,405,184 | speed= 1,439 sps | loss=0.054116 | lr=1.08e-03
